Request time,Request Date,Trip Earnings,Fare,Safety Coverage Fee,Waiting Fee,Pickup Bonus,Discount,Surge,Pathao Net Commission,Pathao will Pay,You will Pay,Pickup Point,Destination Point,Distance,Duration,Trip Type,Pickup Area
11:49:00 AM,11/16/2024,317.3,334,2,0.0,0,100.8,0,16.7,82.1,0,"popular place,shekhertek,mohammadpur","MIRPUR BANGLA HIGH SCHOOL,LN 2,MIRPUR 11",8.76,34.5,Plus,Mohammadpur
9:29:00 PM,11/17/2024,266.4,269.09,5,,,70,26.91,29.6,35.4,0,"airport road,new airport road,kurmitola,sector 2","ZAM ZAM TOWER,SECTOR 13,UTTARA",4.92,20.6,Prime,Purbachal
8:36:00 PM,11/17/2024,670.5,677.27,5,,,70,67.73,74.5,0,9.5,"bakshibazar govt. primary school,hussaini dalan road,noorbagh,siddikbazar",HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,16.81,82,Prime,
6:23:00 PM,11/17/2024,824.4,832.73,5,,,70,83.27,91.6,0,26.6,"brothers furniture ltd,sector 4,uttara","SIMU HOME KITCHEN,NAZIMUDDIN ROAD,CHANKHARPUL",18.09,114,Prime,Uttara
3:46:00 PM,11/17/2024,929.28,1056,5,,,0,,126.72,0,131.72,"luxor,zafrabad,mohammadpur","TONGI,GOVERNMENT COLLEGE,COLLEGE ROAD,1230",22.55,74.4,Prime,Mohammadpur
2:39:00 PM,11/17/2024,563.2,640,2,,,70,,76.8,0,8.8,"dakshin molla tag,bottola,dakshin molla tag,dakshinkhan","NEW DHANMONDI RESTORA,ROAD 8/A,EAST RAYER BAZAR",16.93,74.4,Plus,
3:23:00 PM,11/16/2024,345.84,374.29,5,,,80,18.71,47.16,27.84,0,"nandan dewan park,sector 4,uttora",HOUSE 177  ROAD 2 BARIDHARA DOHS,9.96,32.9,Prime,
6:14:00 PM,11/17/2024,901.55,949,2,,,0,,47.45,0,9.45,"450/1,west kafrul,mukti housing","SOHAN STORE,GHORASHAL HIGHWAY,MIRASPARA,MOINARTEK",19.67,88.2,Plus,
3:17:00 PM,11/17/2024,469.3,494,2,,,70,,24.7,43.3,0,"rd 19,sector 11,uttara","728/1,BEGUM ROKEYA SHARANI,WEST KAFRUL ,PURBA KAZIPARA",12.85,51,Plus,Uttara
12:38:00 PM,11/17/2024,211.85,223,2,,,56.25,,11.15,43.1,0,"vivek majesta,gulshan 2,gulshan","H37,RD 17,NIKUNJA 2",5.24,35.2,Plus,Gulshan
9:26:00 AM,11/17/2024,423.7,446,5,,,0,,22.3,0,22.3,"h 695/6,rd 11,adabor","IFAD TOWER,PLOT 7,INDUSTRIAL AREA,TEJGAON",6.91,39.4,Prime,
3:17:00 PM,11/16/2024,813.2,778.18,2,,,80,77.82,42.8,35.2,0,"uttar para , khilkhet",SADARGHAT LAUNCH TERMINAL,17.27,72.6,Plus,
10:19:00 AM,11/16/2024,889.2,936,2,,,0,,46.8,0,48.8,"airport road , new airport road , kurmitola , sector 2","CHANDRIMA MODEL TOWN, HAZI DIL MOHAMMAD AVE, RAMCHANDRAPUR , MOHAMMADPUR",21.4,67.8,Plus,Purbachal
10:44:00 PM,11/16/2024,248.9,238.18,5,,,166.75,23.82,13.1,148.65,0,"fresco, h 36,north rd,dhanmondi","AARONG,LALMATIA",2.38,17.4,Prime,Dhanmondi
2:40:00 PM,11/16/2024,327.75,345,2,,,104.1,,17.25,84.85,0,"gateway overseas education solution , road o3, block b, niketon","BOATGHAT MASJID, KHILKHET NAMAPARA RD, UTTAR PARA , KHILKHET",9.11,35.8,Plus,Niketon
9:35:00 PM,11/16/2024,669.75,640.91,5,,,80,64.069,35.25,39.75,0,"xinxian resturant,sector 1,uttara","PURBA RAJA BAZAR JAME MASJID,RAJA BAZAR RD,EAST RAJA BAZAR,SHER E BANGLA NAGAR",18.65,51.6,Prime,Uttara
9:55:00 PM,11/16/2024,234.65,224.55,5,,,63,22.45,12.35,45.65,0,"h  5, rd 20, nikunja 2","DOMESTIC TERMINAL (DAC) , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT",2.44,13,Prime,Nikunja
7:51:00 PM,11/16/2024,483.55,462.73,5,,,80,46.27,25.45,49.55,0,"banani bridge,gulshan 2,gulshan","TINYDEN CHILD DAY CARE,MIRPUR DOHS",11.01,40,Prime,Gulshan
1:53:00 PM,11/16/2024,288.8,304,2,,,91.8,,15.2,74.6,0,"datacrift limited , residential area , dhanmondi","NAM VILLA, GULSHAN 1 , GULSHAN",7.21,35.4,Plus,Dhanmondi
5:31:00 PM,11/16/2024,511.1,489.09,5,,,80,48.91,26.9,48.1,0,"16/a,avenue 4,section 11","SKY DINE ROOFTOP RESTURANT,ROAD 4,NIKETON,GULSHAN",10.49,51.8,Prime,
8:16:00 PM,11/16/2024,142.5,150,2,,,38,,7.5,28.5,0,"playpen, h 271, rd 14, block c, basundhara r/a","SCHOLASTICA, SECTOR 1 , UTTARA",2.68,5.7,Plus,Bashundhara
4:23:00 PM,11/16/2024,367.65,368.57,5,,,80,18.43,19.35,55.65,0,"house 44,road 12b,block e,banani,dhaka","VASANTEK MARKET,BAZAR RD,VASHANTEK",8.47,28.1,Prime,
12:51:00 PM,11/16/2024,517.75,545,2,,,80,,27.25,50.75,0,"75 naya paltan , mosjid goli","INTERNATIONAL HOPE SCHOOL BANGLADESH , SECTOR 4, UTTARA",17.03,55,Plus,
7:37:00 PM,11/16/2024,337.25,322.73,5,,,80,32.27,17.75,57.25,0,"52/3, road 2/1, section 12",NORTH SOUTH UNIVERSITY (NSU),8.54,22.2,Prime,Mirpur
12:20:00 PM,11/16/2024,279,295.24,5,,,78.75,14.76,31,42.75,0,"schoolars school and college , h 63, 71, rd  7/a, dhanmondi","JATIYO PARTY CENTRAL OFFICE , PIONEER RD , BIJOYNAGAR",5.34,26.1,Prime,Dhanmondi
1:21:00 PM,11/17/2024,194.48,210.48,5,,,56.5026,10.52,26.52,24.98,0,"ibn sina diagnostic & consultation centre, gareeb e nawaz avenue , sector 13, uttara","HOUSE 9, ROAD 17, SECTOR 14, UTTARA",1.07,15,Prime,Uttara
7:11:00 PM,11/17/2024,731.5,700,5,,,70,70,38.5,26.5,0,"herfy,block i,bashundhara r/a","SUVASTU ARCARE (ICT BHABAN),NEW ELEPHANT ROAD,KATABON",14.41,93.6,Prime,Bashundhara R/A
2:50:00 PM,11/17/2024,264.1,278,2,,,56,,13.9,40.1,0,"plot 330,rd 14,block a,basundhara r/a","NIKUNJO 2,ROAD 12,KITS LIMITED",4.57,21.7,Plus,Bashundhara
6:17:00 PM,11/17/2024,1552.54,1485.68,5,,,70,148.57,81.71,0,16.71,"sorok 12,basundhara r/a","122,D BLOCK 7 NO ROAD,BLOCK D,BASUNDHARA R/A",31.26,182,Prime,Bashundhara
10:43:00 AM,11/17/2024,395.1,439,2,,,110,,43.9,64.1,0,"nr tours & travels,sector 4,uttara","THE PROFESSIONAL NETWORK & LIMK TPNL,RD 4,BANANI DOHS",10.72,54.2,Plus,Uttara
7:08:00 PM,11/17/2024,280.25,268.18,5,,,70,26.82,14.75,50.25,0,"metro properties limited,road 36,gulshan 2,gulshan","BLOCK A,ROAD18,HOUSE 9 ,BANANI",2.23,21.5,Prime,Gulshan
5:26:00 PM,11/17/2024,276.45,291,5,,,70,,14.55,50.45,0,"shohah manzil,ka 86/a,rd 12,baridhara dohs","THE WESTIN DHAKA,GULSHAN 2,GULSHAN",3.21,25.5,Prime,
3:24:00 PM,11/16/2024,464.55,465.71,5,,,80,23.29,24.45,50.55,0,"gulev jannat arifabad mahila madrasa, i/10 , arifabad housing road , extended pallabi , mirpur","HOTEL TROPICAL DAISY , GULSHAN 2, GULSHAN",11.86,35.4,Prime,Mirpur
5:15:00 PM,11/17/2024,388.55,409,2,,,0,,20.45,0,22.45,"cafe hungry bites,satmasjid rd,jigatala","THIKANA,K-1/B,LICHU BAGAN RD,JOAR SHAKARA",11.92,53.5,Plus,
2:32:00 PM,11/17/2024,473.1,498,2,,,70,,24.9,43.1,0,"h18,maind rd,south banashree project",JAPAN BANGLADESH FRIENDSHIP HOSPITAL,10.75,41.9,Plus,
12:51:00 AM,11/16/2024,352.8,356.36,5,,,80,35.64,39.2,35.8,0,"heaven salon , 77, road 17a , banani","RASHID LAKE VIEW , ROAD 7 , DHANMONDI , DHAKA , RESIDENTIAL AREA",9.38,18.1,Prime,Banani
1:32:00 PM,11/17/2024,621.3,622.86,5,,,70,31.14,32.7,33.2,0,"dutch bangla bank limited,4,shyamoli road no 2,shyamoli complex,shyamoli","TEMPO STAND 1,SOUTH BANASHREE",11.72,59.9,Prime,
11:21:00 AM,11/16/2024,280.25,261.9,5,20.0,,75,13.1,14.75,55.25,0,"emon mahmud, house 1, road 7, block b, rajmoni tower ,nobodoy housing.","IBN SINA MEDICAL IMAGING CENTER, ZIGATOLA.",4.33,26.5,Prime,
12:55:00 PM,11/16/2024,333.45,351,2,,,80,,17.55,60.45,0,"unique diagnostic center , green road, dhanmondi","AMENA MONJIL, 144/2, EAST AHMED NAGAR, JONAKI ROAD, MUKTI HOUSING, DOKKHIN MONIPUR",8.35,38.2,Plus,Dhanmondi
1:04:00 PM,11/17/2024,631.75,633.33,5,,,70..00,31.67,33.25,31.75,0,"realiance building, h 146, rd 8, block d, bashundhara r/a","H 91/2, FREE SCHOOL ST, KATHALBAGAN",13.56,56.4,Prime,Bashundhara R/A
2:27:00 PM,11/17/2024,536.75,545,2,20.0,,80,,28.25,49.75,0,"73/h/1, shahid buddijibi munir chowdhury road, dhanmondi",HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,14.8,32,Plus,Dhanmondi
5:39:00 PM,11/17/2024,412.3,434,2,,,70,,21.7,46.3,0,"metlife alico (kader agency) uttara , dhaka , sector 7","132,ROAD NO. 4, BASHUNDHARA R/A",10.16,51,Plus,
7:22:00 PM,11/17/2024,449.35,473,2,,,0,,23.65,0,20.65,"sumon tea store , shyamoli , muhammadpur","AMERICAN INTERNATIONAL UNIVERSITY BANGLADESH , 408/1(OLD KA 66/1), KURATOLI ROAD, KURIL , DHAKA 1229",15.64,56,Plus,
10:49:00 PM,11/17/2024,367.65,351.82,5,,,170,35.18,19.35,145.65,0,"h 662, rd 20, block f, bashundhara r/a","KOSAI BARI RAIL CROSSING KOSAI BARI LEVEL CROSSING, SECTOR 2, UTTO",8.31,23.9,Prime,Bashundhara R/A
12:32:00 PM,11/17/2024,231.8,244,5,,,62.25,,12.2,45.05,0,"mukta pharmacy,commerce college road,section 2","GABTALI BUS TERMINAL,GABTALI,GABTALI",3.93,15.3,Prime,Mirpur
11:08:00 AM,11/17/2024,424.65,447,2,,,67.35,,22.35,43,0,"dr chadat ullah national school,40/b2,sylheti para road,maneshwar,hazaribag","DHAKA COMMERCE COLLEGE,COMMERCE COLLEGE RD,MIRPUR 2",11.64,45.4,Plus,
6:26:00 PM,11/17/2024,495,500,5,,,70,50,55,10,0,"sheltech sierra,236,new elephant road","SUHROH MANZIL,H 14,RD 3,PC CULTURE HOUSING SOCIETY,MOHAMMADPUR",5.86,52,Prime,
3:52:00 PM,11/17/2024,534.16,578.1,5,,,70,28.9,72.84,0,7.84,"khushbu,111,road 4,block c,basundhara r/a","RAJDHANI SUPER MARKET,HATKHOLA RD,TIKATULI",13.32,62.4,Prime,Bashundhara
9:47:00 PM,11/17/2024,310.5,313.64,5,,,70,31.36,34.5,30.5,0,"apurupa hair style,r k mission rd,gopibag","SHAWARMA KING,BLOCK F, BANASREE",7.2,30.5,Prime,Gopibagh
8:39:00 PM,11/17/2024,448.2,498,2,,,0,,49.8,0,51.8,"komika nid mahal,423,south paikpara,garden view road,mukti housing,dakshin paikpara","KAMALAPUR RAILWAY STATION,KAMALAPUR",10.58,58.3,Plus,
6:17:00 PM,11/17/2024,220.5,245,2,,,49.4,,24.5,22.9,0,"h 8 , rd 30, dhanmondi","PRINCE BAZAR LTD, TAJMAHAL ROAD, MPHAMMADPUR",3.01,32.6,Plus,Dhanmondi
4:03:00 PM,11/17/2024,300.08,341,2,,,100,,40.92,57.08,0,mutual trust bank,"SUKRABAD BUS STOP , MIRPUR RD , SUKRABAD, DHANMONDI",8.36,39.3,Plus,
1:48:00 PM,11/17/2024,285.12,294.55,5,,,70,29.45,38.88,26.12,0,"spicy chicken restaurent, jahurul islam ave, merul badda","HODA VASI CHOWDHURY & CO, KAWRAN BAZAR FDC ROAD , WIRELESS, NIKETON",5.2,27,Prime,
3:37:00 PM,11/17/2024,254.32,275.24,5,,,70,13.76,34.68,30.32,0,"h 93/1 , rd 8, niketon","TRIBUTE HOMES, 35, ROAD 114, GULSHAN 2, , GULSHAN",2.78,27.8,Prime,Niketon
8:00:00 AM,11/22/2024,656.1,662.73,5,,,70,66.27,72.9,0,7.9,"projonmo bus stop,jagannath university,atish deoankar road,moddho bashabo,shhjahanpur","WORLD UNIVERSITY OF BANGLADESH(WUB),AVENUE 6,SECTOR 17,UTTARA",20.23,49.5,Prime,
9:09:00 AM,11/22/2024,520.6,548,2,,,70,,27.4,40.6,0,"nasim enterprise,sector 12,uttara","H 12,DOCTOR GOLI,MALIBAGH",19.51,49.4,Plus,Uttara
10:18:00 AM,11/22/2024,222.3,222.86,5,,,59.75,11.14,11.7,43.05,0,"bailey vista. h 6,siddhewari ln,siddheswari","NEW EASKATON RD,NEW EASKATON",2.29,13,Prime,
1:04:00 PM,11/22/2024,358.15,342.73,5,,,70,34.27,18.85,46.15,0,"amicus,house 8,mymensingh road,paribagh,shahbagh","BLOCK C,BANASHREE",5.22,24,Prime,
2:52:00 PM,11/22/2024,257.45,246.36,5,,,69,24.64,13.55,50.45,0,"al amin house, h 8,rd 1 ,block a,banashree","NIHARIKA,H7,SIDDEHWARI RD,SIDDESHWARI",4.02,15.9,Prime,
3:07:00 PM,11/22/2024,289.75,305,2,,,76.75,,15.25,59.5,0,"ratan kutir,h 146/1,new bailey rd","SHYAMOLI ROAD NO 1,MUKTI HOUSING,SHYAMOLI",7.88,31.3,Plus,
5:22:00 PM,11/22/2024,335.35,353,2,,,88.75,,17.65,69.1,0,"kohinur general store,h 2/2,mirpur rd,lalmatia","BASABO,DHAKA,BANGLADESH",8.09,40.5,Plus,
11:09:00 AM,11/19/2024,905.4,1006,5,,,0,,100.6,0,105.6,"mutual trust bank,airpor road,new airport road,kurmitola,sector 2.","ALINAGAR CHAPULIA MASJID,SHIMULTOLY RD,1702",24.25,75,Prime,
7:31:00 PM,11/19/2024,511.2,568,2,,,70,,56.8,11.2,0,"house 80,rd 12,sector 10","ANANYA SHOPPING COMPLEX,BARIDHARA D O H S MAIN ROAD,DOHS BYPASS,GULSHAN",12.8,75,Plus,
9:59:00 PM,11/19/2024,4604.4,5116,2,,,0,,511.6,0,513,shantinagar bus stop,"MANDARI,LAKSHMIPUR SADAR,LAKSHMIPUR",157.35,289.2,Plus,
5:48:00 AM,11/19/2024,219.3,234.55,5,,,65.75,23.45,38.7,22.05,0,"tahmina manzil,209/1,195 shantibag road,shantibagh,malibagh","IBA,UNIVERSITY OF DHAKA,JASIMUDDIN HALL RD,UNIVERSITY OF DHAKA",4.22,11.6,Prime,Malibagh
6:06:00 AM,11/19/2024,233.75,275,2,,,41.55,,41.25,0,1.7,"dhaka medical hospital 2,zahir raihan sarani,dhaka medical college","IBN SINA HOSPITAL,RD 15/A,DHANMONDI",6.31,23,Plus,
6:17:00 AM,11/23/2024,489.6,505.45,5,20.0,,70,50.55,86.4,0,21.4,"universal music & time books doctor goli,malibagh",HAZRAT SHAHJALAL INTERTNATIONAL AIRPORT,13.94,22.8,Prime,Malibagh
7:38:00 PM,11/20/2024,411.4,484,2,,,0,,72.6,0,74.6,"ntrenz,mirpur,dohs rd,pallabi","AZNARA,BLOCK F",8.47,76.8,Plus,Pallabi
9:16:00 PM,11/20/2024,277.1,326,2,,,0,,48.9,0,50.9,"kavazo,road 11,block h,banani","DHAKA MOHILA COLLEGE,H 23,RD 7,DHANMONDI",8.54,28.7,Plus,Banani
8:00:00 AM,11/22/2024,656.1,662.73,5,,,70,66.27,72.9,0,7.9,"projonmo bus stop, jagannath university, atish depankar road, moddho bashabo, shhjahanpur","WORLD UNIVERSITY OF BANGLADESH (WUB), AVENUE 6, SECTOR 17, UTTARA",20.23,49.5,Prime,
9:09:00 AM,11/22/2024,520.6,548,2,,,70,,27.4,40.6,0,"nasim enterprise, sector 12, uttara","H 12,DOCTOR GOLI, MALIBAGH",19.51,49.4,Plus,Uttara
10:18:00 AM,11/22/2024,222.3,222.86,5,,,59.75,11.14,11.7,43.05,0,"bailey vista, h 6 , siddheswari ln, siddheswari","NEW EASKATON RD , NEW EASKATON",2.29,13,Prime,
7:24:00 AM,11/21/2024,246.5,290,2,,,43.8,,43.5,0,1.7,"nawab habibullah model school & college,shahjalal ave,sector 4,uttara","JAMUNA FUTURE PARK ENTRY WAY,PROGATI SARANI,BASUNDHARA",6.69,31,Plus,Uttara
1:04:00 PM,11/22/2024,358.15,342.73,5,,,70,34.27,18.85,46.15,0,"amicus, house 8, mymensingh road, paribagh, shahbagh",BLOCK C BANASHREE,5.22,24,Prime,
9:36:00 AM,11/20/2024,340.1,325.45,5,,,70,32.55,17.9,47.1,0,"insaf barakah  kidney & general hospital , shahid tajuddin ahmed sarani , mogbazar","MOKKA BIRIANI , H 1 , LALBAG RD , AMLIGOLA , LALBAG",5.26,36.1,Prime,
2:52:00 PM,11/22/2024,257.45,246.36,5,,,69,24.64,13.55,50.45,0,"al amin house , h8, rd 1, block a, banashree","NIHARIKA , H 7, SIDDESHWARI RD, SIDDESHWARI",4.02,15.9,Prime,
4:25:00 PM,11/20/2024,535.81,537.15,5,,,70,26.86,28.2,36.8,0,"al hera jame masjid , pilkhana  rd , azimpur","CKD UROLOGY HOSPITAL , 32, ROAD NO 3, MUKTI HOUSING , SHYAMOLI",6.12,79.8,Prime,
3:07:00 PM,11/22/2024,289.75,305,2,,,76.75,,15.25,59.5,0,"ratan kutir , h 146/1, new baily rd","SHYAMOLI ROAD NO. 1 , MUKTI HOUSING, SHYAMOLI",7.88,31.3,Plus,
5:22:00 PM,11/22/2024,335.35,353,2,,,88.75,,17.65,69.1,0,"kohinur general store , h 2/2, mirpur rd, lalmatia","BASABO, DHAKA , BANGLADESH",8.09,40.5,Plus,
6:48:00 PM,11/20/2024,418.95,441,5,,,70,,22.05,42.95,0,"misami bitopi , h 822/3 4 , begum rokeya sarani , west shewrapara","INTEX JAMINA MANJIL , 181/1, SHANTIBAGH, DHAKA",7.91,54.2,Prime,
11:09:00 AM,11/19/2024,905.4,1006,5,,,0,,100.6,0,105.6,"mutual trust bank, airport  road, new airport road, kurmitola, sector 2","ALINAGAR CHAPULIA MASJID, SHIMULTOLY RD,  1702",24.25,75,Prime,Purbachal
9:39:00 AM,11/21/2024,834.68,798.74,5,,,70,79.87,43.93,21.07,0,"h 16 , gopibag 3rd ln , gopibag","AUTISM WELFARE FOUNDATION , H 38 , RD 4, PC CULTURE HOUSING SOCIETY , MOHAMMADPUR",11.18,118.2,Prime,Gopibagh
7:31:00 PM,11/19/2024,511.2,568,2,,,70,,56.8,11.2,0,"house 80 , rd 12 , sector 10","ANANYA SHOPPING COMNPLEX,  BARIDHARA D.O.H.S MAIN ROAD , DOHS BYPASS, GULSHAN",12.8,75,Plus,
7:18:00 PM,11/21/2024,435.1,416.36,5,,,70,41.64,22.9,42.1,0,"h 10/13, tajmahal rd , mohammadpur","APON COFFEE HOUSE , H 381/B , SHAHID BAKI SARAK ,TALTOLA , KHILGAON",8.85,51.5,Prime,Mohammadpur
9:59:00 PM,11/19/2024,"4,604.40",5116,2,,,0,,511.6,0,513,shantinagar bus stop,"MANDARI, LAKSHNIPUR SADAR , LAKSHMIPUR",157.35,289.2,Plus,
8:10:00 PM,11/21/2024,306.85,293.64,5,,,70,29.36,16.15,48.85,0,"egol poribohon , dit road , wireless, mogbazar","IBN SINA DIAGNOSTIC AND CONSULTANCY CENTRE , H CHA 72/1, BIR UTTAM RAFIQUL ISLAM AVE, NORTH BADDA",3.91,30.7,Prime,
11:13:00 PM,11/21/2024,530.1,507.27,5,,,70,50.73,27.9,37.1,0,"aurelia, 8/q, road no. 2 , block d, basundhara r/a","HOTEL RAZMONI ISHA KHA , 89/3, KAKRAIL ROAD ,DOKKHIN SHAJAHANPUR , PALTAN",13.78,37.3,Prime,Bashundhara
9:29:00 PM,11/22/2024,208.8,232,2,,,45.05,,23.2,19.85,0,"uttor kafrul , poshchim kafrul","BANANI HOUSE ,26, ROAD 17/A , BANANI",5.26,23,Plus,
10:06:00 PM,11/22/2024,535.5,540.91,5,,,70,54.09,59.5,5.5,0,"zaheen knitwears  ltd , road 13c , block  e, banani","M/S JAHANGIR PAPER HOUSE , ZINDABAHAR 2ND LN, BABU BAZAR",10.93,33.1,Prime,Banani
10:52:00 AM,11/19/2024,522.5,550,5,,,0,,27.5,0,32.5,"molla general store , bochila rd, mohammadpur","DEPT OF COMPUTER SCIENCE AND ENGINEERING, MOKARROM BUILDING RD, UNIVERSITY OF DHAKA",9.5,48.2,Prime,Mohammadpur
5:48:00 AM,11/19/2024,219.3,234.55,5,,,65.75,23.45,38.7,22.05,0,"tahmina monjil, 209/1, 195 shantibag road, shantibagh, malibagh","IBA , UNIVERSITY OF DHAKA , JASIMUDDIN HALL RD, UNIVERSITY OF DHAKA",4.22,11.6,Prime,Malibagh
6:06:00 AM,11/19/2024,233.75,275,2,,,41.55,,41.25,0,1.7,"dhaka medicalhospital 2 , zahir raihan sarani, dhaka medical college","IBN SINA HOSPITAL, RD 15/A, DHANMONDI",6.31,23,Plus,
12:41:00 PM,11/19/2024,295.45,296.19,5,,,70,14.81,15.55,49.45,0,"3rd class workers association of dmc, and medical store, sir sayed road ,fakirapool , siddikbazar","AMBROSIA INFINITY LOUNGE , RESIDENTIAL AREA , DHANMONDI",5.25,27,Prime,
9:19:00 AM,11/21/2024,385.9,412.73,5,,,70,,68.1,0,3.1,"ciam school,103,azimpur koborsthan road,nijhum residential area,hazaribagh","CITY BANK LTD,H 10,R 4,GULSHAN 1",7.96,45.2,Prime,
8:52:00 AM,11/21/2024,396,450,5,,,70,45,99,0,34,"salam summershine,residential area,dhanmondi","NINAKABBO,BIR UTTAM MIR SHAWKAT SARAK,EAST NAKHALPARA,NIKETON",5.51,36.1,Prime,Dhanmondi
