pickup point,last part
"""airport masjid , new airport rd""","""new airport rd"""
"""kanu lal mistanno bhandar , h  105, mugdapara ,sabujbag""","""sabujbag"""
"""homeopathic foundation hospital& research center, kazipara, mirpur 10""","""mirpur 10"""
"""rony telecom,mosque road2,korail,mohakhali""","""mohakhali"""
"""hsbc bank atm,west dhanmondi""","""west dhanmondi"""
"""salman""","""salman"""
"""police box,begum rokeya sharani,west kafrul,purba kazipara""","""purba kazipara"""
"""h 480, shahid baki sarak, taltola, khilgaon""","""khilgaon"""
"""holy family red crescent medical college hospital,h 1,eskaton garden rd,old eskaton""","""old eskaton"""
"""sara pizza (banasree-e ), block e""","""block e"""
"""h 381/2 , shilpi hotel goli, shahidbag , malibag""","""malibag"""
"""namira kitchen , h 1102, mirpur rd 14, kachukhet""","""kachukhet"""
"""bonayon. com landscaping & indoor- outdoor plants, mirpur cantonment""","""mirpur cantonment"""
"""sub lover's , oink city, gulshan-2""","""gulshan-2"""
"""cheesy slice , mirpur  cantonment""","""mirpur  cantonment"""
"""p0lic convention hall, old elephant road, wireless, paltan""","""paltan"""
"""rijiya bhavan , h 2/ga, habibullah rd, shahbag""","""shahbag"""
"""82/12, south barontek , dhaka 1206""","""dhaka 1206"""
"""sunbeam cafe""","""sunbeam cafe"""
"""1,paribagh garden tower,paribagh""","""paribagh"""
"""uttor badda abdullabag""","""uttor badda abdullabag"""
"""rekha shoes , h 97 , 98, 111/1, elephant rd""","""elephant rd"""
"""zaman tower , h 37. 2, culvert rd, fakirapool""","""fakirapool"""
"""tashpia kazi tower,road 9,block m,banasree""","""banasree"""
"""rahman chember, toyenbee road, banglabhaban area, hatkhola""","""hatkhola"""
"""hazrat shahjalal international airport, kurmitola""","""kurmitola"""
"""dhaka airport railway station""","""dhaka airport railway station"""
"""m/s  maa bedding store , h 228, green rd""","""green rd"""
"""ln 5 , mohakhali dohs""","""mohakhali dohs"""
"""shwapno , residential area, dhanmondi 27""","""dhanmondi 27"""
"""domestic terminal  , new airport road , kurmitola , sector  2""","""sector  2"""
"""3/1 kallyanpur prodhan sarak,notun bazar,mukti housing,moddho paikpara""","""moddho paikpara"""
"""kfc,baily road,natok sarani,gold hunt shopping complex""","""gold hunt shopping complex"""
"""momtaz begum,167/2/b,road 4,janata housing senpara parbata,janata housing""","""janata housing"""
"""sorai jame masjid road,jatrabari""","""jatrabari"""
"""railway staff accomodation,dhaka mymensingh highway,kurmitola,sector 1""","""sector 1"""
"""10,road 1,section 7""","""section 7"""
"""176/5/1,west kafrul,taltola,west kafrul""","""west kafrul"""
"""house 17, block a, wazuddin road""","""wazuddin road"""
"""ismail pharmacy,surtaranga rd,wesr arichpur""","""wesr arichpur"""
"""dutch bangla bank ltd, kalsi rd, mirpur 11""","""mirpur 11"""
"""kalom tower,h,6,rd 2,banasree,rampura""","""rampura"""
"""ramna foot over bridge""","""ramna foot over bridge"""
"""community cluster jui taslima,rofiker goli,tongi""","""tongi"""
"""kalabagan west bus stop,kalabagan over bridge,kalabagan""","""kalabagan"""
"""rupayan city uttara, nalbhog""","""nalbhog"""
"""international medical college hospital,medical college rd,rustampur 1711""","""rustampur 1711"""
"""sultana razia rd""","""sultana razia rd"""
"""phoenix building, 407, to tejgao flyover, pashcim nakhalpara , niketan""","""niketan"""
"""bangladesh telivision (btv),tv rd,east rampura""","""east rampura"""
"""fuji tower,bir uttam rafiqul islam  ave,middle badda""","""middle badda"""
"""h ka 14/2,kalachanpur main rd,kalachanpur""","""kalachanpur"""
"""radisson blu dhaka water garden,new airport rd,dhaka cantonment""","""dhaka cantonment"""
"""road 08,mirpur dohs,mirpur 12""","""mirpur 12"""
"""kamal tea stall,vashantek mirpur rd,vashantek""","""vashantek"""
"""m/s kings tyre and battery , south banasree""","""south banasree"""
"""d max telecom centre , south muhsendi rd , narinda""","""narinda"""
"""anwar auto bike service, h 11/7/j, freee school st, kathalbagan""","""kathalbagan"""
"""islami bank banlandesh ltd ,bir uttam k m sofiullah rd , east rajabazar""","""east rajabazar"""
"""59/5, gate no. 1 road , khamar bari""","""khamar bari"""
"""dhaka chittagong highway ,banagram""","""banagram"""
"""dhaka medical college hospital , secretariat road ,dhaka , bangladesh""","""bangladesh"""
"""h 10, rd 9c , nikunja 1""","""nikunja 1"""
"""canadian club , madani ave , baridhara""","""baridhara"""
"""asia filling station 2 asia filling station 2, dhaka mymensingh highway, purbo arich""","""purbo arich"""
"""siraj-khaledamemorial cantonment board general hospital , damalkot, bhashantek""","""bhashantek"""
"""maati properties house 1/f not in map""","""maati properties house 1/f not in map"""
"""306, i block road 1, bashubdhara r/a""","""bashubdhara r/a"""
"""h 73, green road""","""green road"""
"""takeout banani , kemal ataturk avenue""","""kemal ataturk avenue"""
"""sumi tower , zoo road, section 1""","""section 1"""
"""1425/a ,south pirer bagh ,mukti  housing , dokkhin pirerbagh""","""dokkhin pirerbagh"""
"""nawabi voj  ,aqp shopping mall , new baily road""","""new baily road"""
"""indian express , 57 shiddheswari road ,rupayan sawpno niloy""","""rupayan sawpno niloy"""
"""farazy phyiotherapy & laser unit, uttara , sector7""","""sector7"""
"""american international university bangladesh , 408/1, ( old ka 66/1) , kuratoli road , kuril , dhaka 1229""","""dhaka 1229"""
"""southern garments ltd,zirabo to bishmail rd ,rustampur,ashulia 1342""","""ashulia 1342"""
"""rayerbag bus stop,dhaka chattogram highway""","""dhaka chattogram highway"""
"""iqra model school and college,zia sarani road,rayebag,sonir akhra""","""sonir akhra"""
"""international medical college hospital, medical college rd, rustampur, 1711""","""1711"""
"""hafizur telecom grameen phone express, dhaka tangail highway, mouchak, 1751""","""1751"""
"""square hospital ltf,panthpath""","""panthpath"""
"""exim bank limited,dania road,noyapara,shanir akhra""","""shanir akhra"""
"""h 53,stamford university rd,siddheshwari""","""siddheshwari"""
"""luthfa place,h 27/cha,east rajabazar,farmgate""","""farmgate"""
"""hauque shazeda villa , 190/1, shyamoli road no. 2 mukti housing , uttar shyamoli, paschim agrargaon""","""paschim agrargaon"""
"""big web technologies ltd,gazi golam dastagir rd,arambag""","""arambag"""
"""bay's  lakewood""","""bay's  lakewood"""
"""insaf hospital,rathkhola sadar hospital rd""","""rathkhola sadar hospital rd"""
"""hotel the progoti,h 33 37,school rd,mahakhali""","""mahakhali"""
"""honey mustard,jagannathpur,bashundhara road""","""bashundhara road"""
"""diabari hotel & restaurant, dia bari gabtoli road, gabtoli""","""gabtoli"""
"""saad kabab ghar, ceramics rd, 1340""","""1340"""
"""the ent and head neck cancer hospital and institute,north shyamoli""","""north shyamoli"""
"""bazar sadai departmental store,dewanbag""","""dewanbag"""
"""g.h.p electronics, dhakachittagong highway, westy jatrabari""","""westy jatrabari"""
"""206/1, nort shajahan pur road, uttor shahajahanpur railway banijjik alaka, shahjahanpur""","""shahjahanpur"""
"""road 22,mohakhali dohs,sher e bangla nagar""","""sher e bangla nagar"""
"""civil aviation c type quarter,new airport road""","""new airport road"""
"""h 52/3, new easkaton rd, new easkaton""","""new easkaton"""
"""dutch bangla bank ltd atm, station  rd, kamalapur""","""kamalapur"""
"""new bikrampur pharmacy,h 19/1,rankin st,wari""","""wari"""
"""biswa sahitwa kendro , h 17, bishwa sahitto kendro ln, paribag, ramna""","""ramna"""
"""sarkari karmachari hospital""","""sarkari karmachari hospital"""
"""abesh hotel biriyani house , mirpur - 2""","""mirpur - 2"""
"""nandipara garments rd, nandipara basabo""","""nandipara basabo"""
"""road to be named""","""road to be named"""
"""nandan selim , 8/f , road no . 2 , block d , basunmdhara r/a""","""basunmdhara r/a"""
"""shanta garden""","""shanta garden"""
"""hawai goli, moddho bashabo, shhajahanpur""","""shhajahanpur"""
"""monsur vaban , house 125, peer shaheber goli , shantinagar ,kakrail""","""kakrail"""
"""coal power generation company bangladesh limited (cpgcbl) unique heights ( level 17), 117, kazi nazrul islam avenue, eska""","""eska"""
"""khatun e jannat jame masjid , hazi piar ali rd , rustampur""","""rustampur"""
"""the tyre & battery bazar, h 60, kazi nazrul islam ave, east tejturipara""","""east tejturipara"""
"""islami bank bangladesh limited , basabo market road , tempo stand , middle basabo""","""middle basabo"""
"""tetul para shahi jame masjid , namapara tetul tola""","""namapara tetul tola"""
"""dncc dedicated covid - 19 hospital , mohakhali, dhaka- 1212, dakkhinpara""","""dakkhinpara"""
"""87 new eskaton road, home town complex , 9th floor""","""9th floor"""
"""walton service centre , dhaka chittagong highway , sign board , shiddhirganj , narayanganj , 1361""","""1361"""
"""90/1 jomidar goli , shiddeswari, ramna, 1000""","""1000"""
"""heritage school , dhaka narayanganj rd , chasara , narayanganj sadar , narayanganj , 1400""","""1400"""
"""ad din hospital rd, moghbazar""","""moghbazar"""
"""house 51, road 17 , sector 11 , uttara , dhaka ( uttara  poshchim thanar samne )""","""dhaka ( uttara  poshchim thanar samne )"""
"""entry gate for rd 5 , h 8, 9, 13, rd 3 , block j""","""block j"""
"""rayer bazar , bhuiyan eastate""","""bhuiyan eastate"""
"""outer stadium,milk vita rd,block g,mirpur 2""","""mirpur 2"""
"""shamsur madrasa circle""","""shamsur madrasa circle"""
"""h 29 , rd 6, south banasree project""","""south banasree project"""
"""shadhinata tower,h 1667,bir uttam ziaur rahman rd,shaheenbag""","""shaheenbag"""
"""snackbar express,food zone,naya paltan""","""naya paltan"""
"""spring dale , banashree , block d""","""block d"""
"""salbon filling station, dhaka mymensingh highway, 1702""","""1702"""
"""der food island,3/8,north peerbug,mukti housing,dokkhin monipur""","""dokkhin monipur"""
"""emergency department ( nirtot), sayed mahbub morshed road , sher-e-bangla-nagar""","""sher-e-bangla-nagar"""
"""bay's lakewood""","""bay's lakewood"""
"""thai chi restaurant and cafe , h 117/a, bijoy sarani tejgaon link rd , tejkunipara""","""tejkunipara"""
"""motalib plaza, hatirpool circle""","""hatirpool circle"""
"""borak zahir tower,kazi nazrul islam ave,panthapath""","""panthapath"""
"""darussalam tower , 59/da , mirpur road , abdul rafiq housing , gabtali""","""gabtali"""
"""bikrampur mistanno vander & bakery 22,60 feet,senpara parbata,boorbagh""","""boorbagh"""
"""kuril gausia brtc ticket counter""","""kuril gausia brtc ticket counter"""
"""shahi mithai,h 27,nazimuddin rd,begum bazar,chawkbazar""","""chawkbazar"""
"""15,mitford road,islampur,keranigank subdistrict""","""keranigank subdistrict"""
"""haque library,jhonson rd,sadarghat""","""sadarghat"""
"""ranir bhubon,376/a,road 10,block c""","""block c"""
"""38,extended pallabi,mirpur`""","""mirpur`"""
"""arham pharmacy , ka / 92/ a, nurani masjid rd, joar shahara""","""joar shahara"""
"""twenty twenty restaurant and party center""","""twenty twenty restaurant and party center"""
"""eastern villa,h 6,segunbagicha rd,segunbagicha""","""segunbagicha"""
"""fulbaria super market, gulistan""","""gulistan"""
"""www.humayra.com.bd,block e.banasree""","""block e.banasree"""
"""hasnabad bakery,dhaka mawa highway""","""dhaka mawa highway"""
"""habib bank ltd,h 67,dilkusha rd,dilkusha""","""dilkusha"""
"""grameenphone head office , alhaz abdus sobhan rd , block b, kuril""","""kuril"""
"""akij service centre, wireless niketon""","""wireless niketon"""
"""prapti city,pagla link rd,pagla,narayanganj""","""narayanganj"""
"""basher pool dogair bazar""","""basher pool dogair bazar"""
"""pongkhumiya jame masjid , rani mohol boro vanga rd""","""rani mohol boro vanga rd"""
"""house 83/5, omar ali lane, west rampura , pampura""","""pampura"""
"""bangladesh agriculture research council ( barc) , old airport rd, monipuri para""","""monipuri para"""
"""biddut bhaban , h 1 , abdul gani rd , purana paltan""","""purana paltan"""
"""square hospital ltd , panmthapath""","""panmthapath"""
"""tolerbag jame masjid""","""tolerbag jame masjid"""
"""h 345, dilu rd , new eskaton""","""new eskaton"""
"""sutrapur thana , waltan rd , sutrapur""","""sutrapur"""
"""nundica restaurant, hazrat shah ali mazar , mirpur - 1""","""mirpur - 1"""
"""interlink technology""","""interlink technology"""
"""iub fashion,road no 12,block c,basundhara r /a""","""basundhara r /a"""
"""priyo prangon""","""priyo prangon"""
"""dhanmondi foot over bridge""","""dhanmondi foot over bridge"""
"""nishus food,80 north basabo,shobujbag""","""shobujbag"""
"""city international school and college,city school goli,kamrangichor,bhuiya estate""","""bhuiya estate"""
"""ranimohol bokvanga road,mahmudnagar,green model town""","""green model town"""
"""bouddho mondir bus stoppage,autish dipankar road,moddho bashabo,komlapur""","""komlapur"""
"""sonar bangla media,nurechala rd,nurer chala""","""nurer chala"""
"""dhaka demra highway,shonir akhra""","""shonir akhra"""
"""bank alfalah limited mirpur,house 1,kalsi road,block d,section 11,mirpur dhaka 1216""","""mirpur dhaka 1216"""
"""purbachalgas filling station,darus salam road,darus salam""","""darus salam"""
"""5,kachabazar road,section  10""","""section  10"""
"""tabaq grameenphone office,bashundhara rd,bashundhara""","""bashundhara"""
"""hashim tower""","""hashim tower"""
"""mirpur dohs house 710 road 10 avenued 3 flat 4 a""","""mirpur dohs house 710 road 10 avenued 3 flat 4 a"""
"""h 48, indira road farmngate""","""indira road farmngate"""
"""road 10 block d house 328 basundhara""","""road 10 block d house 328 basundhara"""
"""road 3 , basha 18/b , monshurabad abashik area ada""","""monshurabad abashik area ada"""
"""tasty treat panthapath , 44/9 , west panthapath""","""west panthapath"""
"""clothero, nosor uddin rd, matikata""","""matikata"""
"""ahsaniya mission cancer and general hospital""","""ahsaniya mission cancer and general hospital"""
"""chefs table court side""","""chefs table court side"""
"""h 55, rd 1, aftab nagar project badda""","""aftab nagar project badda"""
"""nuvista pharma plant""","""nuvista pharma plant"""
"""hospital""","""hospital"""
"""the buffet stories mirpur""","""the buffet stories mirpur"""
"""napd office , kataban rd,nilkhet""","""nilkhet"""
"""bishnurpriya hotel,tati bazar,kotwali""","""kotwali"""
"""stamford university,dhaka chittagonh highway,sayedabad""","""sayedabad"""
"""rd 12,block c,mirpur 6""","""mirpur 6"""
"""house 36 road 7 uttora sector 13""","""house 36 road 7 uttora sector 13"""
"""nescafe, station rd , kamalpur""","""kamalpur"""
"""ymca training centre , masjidul llah  , savar""","""savar"""
"""tejgaon thana health complex""","""tejgaon thana health complex"""
"""apr a4 house 6,road 109 gulshan 2""","""road 109 gulshan 2"""
"""ad din medical college hospital""","""ad din medical college hospital"""
"""h 0301/81, kamal khan rd , ibrahimpur""","""ibrahimpur"""
"""banashree physicotherapy center , block  d""","""block  d"""
"""reckitt benckiser official store tejgaon""","""reckitt benckiser official store tejgaon"""
"""east goran""","""east goran"""
"""brac bank atm, azimpur rd , new market""","""new market"""
"""194/1 , uttara shyamoli  , paschim agargaon  , shyamoli road no . 2 , mukti housing  , uttara  shyamoli  , paschim agargaon""","""paschim agargaon"""
"""bardem hospital""","""bardem hospital"""
"""south bishil adarsha bidya niketon, darussalam rd""","""darussalam rd"""
"""sel bari legacy""","""sel bari legacy"""
"""b.i.h.s general hospital , dar us salam road , abdul rafiq housing , shah ali bagh""","""shah ali bagh"""
"""19/d . uttar tolarbagh , uttara bhaban 5/a . mirpur 1 dhaka 1216.""","""uttara bhaban 5/a . mirpur 1 dhaka 1216."""
"""ananda food house""","""ananda food house"""
"""house 295/296""","""house 295/296"""
"""hotel al faysal , h 295/2 , toyenbee circular rd , arambagh""","""arambagh"""
"""dhaka medical college hospital , sir sayed rd  , university of dhaka""","""university of dhaka"""
"""ali asgar hospital , 111/1/a, distilary road , goipibag , dayaganj""","""dayaganj"""
"""koshai bari rail crossing kosai bari level crossing  , sector 2 , utto""","""utto"""
"""h k 75/8, rd 13 , kalachandpur""","""kalachandpur"""
"""birdem hospital , shahbag  circle""","""shahbag  circle"""
"""imbd agency  , banani  dohs""","""banani  dohs"""
"""lalbag""","""lalbag"""
"""shumaiya 's place""","""shumaiya 's place"""
"""hungry eyes food corner""","""hungry eyes food corner"""
"""kurmitola general hospital""","""kurmitola general hospital"""
"""the vapianoo cafe , satmasjid rd , jigatola""","""jigatola"""
"""613, north kafrul , jhilpar road , ashar alo lake view tower""","""ashar alo lake view tower"""
"""channel 24 , shahid tazuddin ahmed ave , tejgaon industrial area""","""tejgaon industrial area"""
"""dhaka metropoliton police  headquarter , mintu rd""","""mintu rd"""
"""shyamoli tb hospital  , syed mahbub murshed ave""","""syed mahbub murshed ave"""
"""bird bazar  , senpara parbata , senpara parbata  , section 13""","""section 13"""
"""manasi cinema hala  , bangshal rd , nawabpur""","""nawabpur"""
"""bilkis villa , 22 , mitali housing society , south kafrul , poshchim  kafrul""","""poshchim  kafrul"""
"""house 52,road 9a""","""road 9a"""
"""lamia enterprise,h 13/3,hazi chinu mia rd,mohammadppur""","""mohammadppur"""
"""jamila tower , 93/1 indira road , tollabag dhaal""","""tollabag dhaal"""
"""firoza manson, h 60/2, old elephant rd , noyatola""","""noyatola"""
"""riceman""","""riceman"""
"""h ka 28/3/3/a, kuwaiti masjid rd , vatara""","""vatara"""
"""kotbari bazar , dhakshin azampur""","""dhakshin azampur"""
"""university of asia pacific , green rd farmgate""","""green rd farmgate"""
"""ashi dag circle , north ibrahimpur""","""north ibrahimpur"""
"""pingus kitchen,sky view garden,shantinagar""","""shantinagar"""
"""947, 60 feet  , mukti housinf , dokkhin  monipur""","""dokkhin  monipur"""
"""mr. kacchi  , 252/4 , west monipur , mukti housing , paschim monipur""","""paschim monipur"""
"""jahangir traders,demra narayanganj rd,siddhirganj""","""siddhirganj"""
"""future point , riazbag , taltola , khigoan""","""khigoan"""
"""metro food court , uttara , diyabari""","""diyabari"""
"""h 379,rd 21,block g,asundhara r/a""","""asundhara r/a"""
"""city lp gass , west kafrul , taltola , west kafrul , paschim  kafrul""","""paschim  kafrul"""
"""h 7 b/9 , mirbag rampura dit link rd , mirbag""","""mirbag"""
"""rampura kacha bazar  , west rampura""","""west rampura"""
"""babuil cycle store , h 174/175, begunbari rd , east tejkunipara""","""east tejkunipara"""
"""dhanmondi 4/a , beside of renesha hospital, house no 62 , flat no b2""","""flat no b2"""
"""sonarang kabarsthan  , sonarang""","""sonarang"""
"""house 629,road 4,block h,basundhara""","""basundhara"""
"""fm zaman,h 21,rd 9 a,nikunja1""","""nikunja1"""
"""bangladesh laser skin center , green road , dhanmo""","""dhanmo"""
"""h 15 , garden rd , west karwan bazar""","""west karwan bazar"""
"""dhaka cmh cancer center , matikata mirpur ecb""","""matikata mirpur ecb"""
"""delhi darbar mohakhali""","""delhi darbar mohakhali"""
"""santinibash 78 ,  santinibas baf officers quarter internal rd , pashcim nakhalpara , sher  e  bangla nagar""","""sher  e  bangla nagar"""
"""aloki , tejgaon  link road , niketon gulshan""","""niketon gulshan"""
"""universal  international school""","""universal  international school"""
"""miniso , banani , block g""","""block g"""
"""bahadur shah park ( victoria park ) , chitta ranjan avenue , bangla bazar , keraniganj subdistrict""","""keraniganj subdistrict"""
"""airport masjid , new air port rd""","""new air port rd"""
"""international centre for diarrhoeal disease research,bangladesh,mohakhaliu,mohakhali bazar road""","""mohakhali bazar road"""
"""uttar  tolarbag general store,darus salam rd,tolarbag,miprur 1""","""miprur 1"""
"""ma shahi fuchka and chotpoti house , islambag , lalbagh""","""lalbagh"""
"""aziza mistanno bhander,haricharan ray rd,faridabad""","""faridabad"""
"""665/2, 665/2 , ibrahimpur road , near kochukhet bazar , cantonment""","""cantonment"""
"""dhaka cmh cancer center , matikata , mirpur ecb""","""mirpur ecb"""
"""taqwa biryani house""","""taqwa biryani house"""
"""mridus jail""","""mridus jail"""
"""aurora specialized hospital ltd , 19/1 , khulna trade square , kakrail , dhaka -1000""","""dhaka -1000"""
"""shahjadpur bus stop""","""shahjadpur bus stop"""
"""h 315,khilgaon gulbag rd,shantibag""","""shantibag"""
"""home tower shopping center ,dhaka chittagong highway""","""dhaka chittagong highway"""
"""56, road 8/a , dhanmondi r /a""","""dhanmondi r /a"""
"""aarong gulshan , tejgaon gulshan link rd""","""tejgaon gulshan link rd"""
"""kuwaiti masjid , goli 6 , west nakhalpara""","""west nakhalpara"""
"""city plaza fulbaria super market ,moti sarder rd , fulbaria""","""fulbaria"""
"""h 67 , atish dipankar rd , basabo""","""basabo"""
"""secret recipe mohakhali""","""secret recipe mohakhali"""
"""cafe tiffin box , chaya bithi'r goli , tikatuli""","""tikatuli"""
"""south badda jame masjid , bazar rd , south badda""","""south badda"""
"""89 sihrawardy avenue . road no. 11 baridhara""","""89 sihrawardy avenue . road no. 11 baridhara"""
"""norshindi pouroshova , norshindi sadar . norshindi""","""norshindi sadar . norshindi"""
"""airport rail station""","""airport rail station"""
"""bonosri e block""","""bonosri e block"""
"""shuvastu nagar valley , f/2, bir uttam rafiqul islam ave , shahjadpur""","""shahjadpur"""
"""arafis dine restaurant , joynogor gov . r/a , mirpur-13""","""mirpur-13"""
"""paltan model police station,vip road""","""vip road"""
"""boss host bd,539/1,w nakhalpara rd,paschim nakhalpara""","""paschim nakhalpara"""
"""ific bank limited,mridha bari road,shonir akhra,donia""","""donia"""
