Unnamed: 0,Pickup Point,last part,Pickup Area
411,"h 319, akbar rd, block  d, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
415,"milima , 164, road 4, block d, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
417,"techniche consulting services bd, road 01, block f, banani",BANANI,Banani
418,"70/d,  dolphin goli, dhanmondi",DHANMONDI,Dhanmondi
419,"6 , road 4, nikunja 2",NIKUNJA 2,Nikunja
421,"road no. 14 , block a , basundhara r/a",BASUNDHARA R/A,Bashundhara
424,"ramna ps , sahid capten munsur ali avenue, wireless, paltan",PALTAN,Paltan
425,"pharmacy , rd 9 , mirpur dohs",MIRPUR DOHS,Mirpur
426,"h 848, rd 19, block g , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
427,"bashundhara purbachal link rd , block j , basundhara r/a",BASUNDHARA R/A,Bashundhara
428,"kalachandpur main road , baridhara, gulshan",GULSHAN,Gulshan
429,"gloria jeans coffee, road 71, gulshan 2, gulshan",GULSHAN,Gulshan
431,"hongkong shanghai tower, h108, rd 11, banani",BANANI,Banani
432,"shanghai chinese cafe , rd 11 , banani",BANANI,Banani
433,"469, road no. 7, basundhara r/a",BASUNDHARA R/A,Bashundhara
434,"abdus sattar,28,section 2",SECTION 2,Mirpur
435,"obsterical & gynaecological society of bangladesh hospital(ogsb hospital)section 13,mirpur",MIRPUR,Mirpur
436,"bishmillah ,06 , road 1 , block d , basundhara r/a",BASUNDHARA R/A,Bashundhara
440,"riz park, adabar, mohammadpur",MOHAMMADPUR,Mohammadpur
441,"the prestige magazine , house 47 , road 11 , block h , banani",BANANI,Banani
442,"north end cofee roasters evercare hospital,block e,bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
443,"house 28,road 8,sector 12,uttara",UTTARA,Uttara
444,"setara begum, h 104, rd 7, mohammadi housing society, mohammadpur",MOHAMMADPUR,Mohammadpur
448,"334,i block road 1,basundhara r/a",BASUNDHARA R/A,Bashundhara
450,"la gustosa kitchen,residential area,dhanmondi",DHANMONDI,Dhanmondi
452,"godule,102,sarak 14,khilkhet,basundhara r/a",BASUNDHARA R/A,Bashundhara
453,"tulip moonlit,h 333rd 18,banani",BANANI,Banani
455,"sector 8,uttara",UTTARA,Uttara
459,"arsalam hotel and resturent,14,road 7,dhanmondi",DHANMONDI,Dhanmondi
462,"road 3, block d, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
464,"693, road no. 1, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
466,"shahid tazuddin ahamed avenue, wireless, niketon",NIKETON,Niketon
473,"h 490, shahid baki sarak, taltola, khilgaon",KHILGAON,Khilgaon
474,"sector 15 welfare society office,uttara",UTTARA,Uttara
481,"73, road 4, section 12",SECTION 12,Mirpur
483,"tenement- 4, h 301/a , bashundhara rd , block e, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
484,"kalabagan west bus stop,kalabagan over bridge,kalabagan",KALABAGAN,Kalabagan
485,"rd 9,sector 10,uttara",UTTARA,Uttara
487,"iub,block ,road no 8,block b,basundhara r/a",BASUNDHARA R/A,Bashundhara
491,"creative communication ltd , gulshan 1, gulshan",GULSHAN,Gulshan
492,"electronic plaza,topkhana,fakirapool,paltan",PALTAN,Paltan
493,"nusrat cosmetics corner & stationery,1,road 3,section 2",SECTION 2,Mirpur
498,"h 136/a, rd 1, mohammadi housing society , mohammadpur",MOHAMMADPUR,Mohammadpur
501,"mehs construction chemicals ltd., lane 5, mohakhali dohs , mohakhali",MOHAKHALI,Mohakhali
503,"house 296,road 1,block f,bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
504,"urban southern heights, residential area , dhanmondi",DHANMONDI,Dhanmondi
507,"kpmg rahman rahman huq , 9 & 5 , bir uttam a. k . khandakar road , mohakhali ,gulshan",GULSHAN,Gulshan
509,"awana, 22, road 104, gulshan 2, gulshan",GULSHAN,Gulshan
510,"mostafa garden,house 245,road 6c,block b,bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
512,"nirala bhaban , h 1 , rd 2/a , niketon",NIKETON,Niketon
513,"h 299, rd 7/a, block e , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
516,"airport road , new airport road , kurmitola, sector 2",SECTOR 2,Purbachal
517,"teletalk customer care center , gulshan 1 , gulshan",GULSHAN,Gulshan
518,"286,d block 9 no road ,block d,basundhara r/a",BASUNDHARA R/A,Bashundhara
520,"jomidar goli , wireless, paltan",PALTAN,Paltan
521,"ikram apparel,house 45,road 27,sector 7,uttara",UTTARA,Uttara
522,"h 36,rd 20a,sector 4,uttara",UTTARA,Uttara
523,"silver wave tours ltd , block e , banani",BANANI,Banani
526,"house 190, rd 02 (new ) , ave 3 , mirpur dohs",MIRPUR DOHS,Mirpur
527,"shanto -mariam university of creative technology ,avenue 6 , sector 17 , uttara",UTTARA,Uttara
528,"bliss garden, sector 4, uttara",UTTARA,Uttara
529,"gic education limited , gulshan 1 , gulshan",GULSHAN,Gulshan
530,"x integrated marketing agency , house 40 , road 20, mohakhali dohs , mohakhali",MOHAKHALI,Mohakhali
533,"gollachut studios , iqbal road, mohammadpur",MOHAMMADPUR,Mohammadpur
534,"rafijas closet ,road 17/a , block e , banani",BANANI,Banani
535,"h 308/4, tilapara rd, khilgaon",KHILGAON,Khilgaon
537,"arafat electronics ,post office road , gulshan",GULSHAN,Gulshan
540,"arabika coffee, gulshan 2, gulshan",GULSHAN,Gulshan
542,"card division ,first security islami bank limited , residential area , dhanmondi",DHANMONDI,Dhanmondi
543,"awake cafe & bistro , dhali fitness center ,bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
544,"382/b , d block 9 no road , block d , basundhara r/a",BASUNDHARA R/A,Bashundhara
545,"h 35, save the children , gulshan",GULSHAN,Gulshan
547,"449, ahmed akbar sobhan avenue , block d, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
548,"baily ritz , 1 , new baily road , wireless , paltan",PALTAN,Paltan
552,"ortho dent orthodontics & aesthetic dental , sector 13, uttara",UTTARA,Uttara
553,"h 18 e , sabrina sobhan 4th ave , block h , basundhara r/a",BASUNDHARA R/A,Bashundhara
554,"dhaka medical college hospital , secretariat road ,dhaka , bangladesh",BANGLADESH,Agargaon
556,"rd 7 , block  i , basundhara r/a",BASUNDHARA R/A,Bashundhara
557,"h 93/1 , rd 8 , niketon",NIKETON,Niketon
558,"92, road 2 niketon , block a, niketon society, gulshan",GULSHAN,Gulshan
560,"torasin garden, h 286, rd 7/a, block e , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
561,"hazrat shahjalal international airport , terminal 1 , airport road , new airport road ,kurmitola , sector 2",SECTOR 2,Purbachal
563,"airport road, new airport road, kurmitola , sector 2",SECTOR 2,Purbachal
564,"house 21, shayesta khan ave, sector 4 , uttara",UTTARA,Uttara
568,"ocean message spa, gulshan 2, gulshan",GULSHAN,Gulshan
569,"need dolonchapa, sector 11, uttara",UTTARA,Uttara
570,"oncon travels & tours, sector 13 , uttara",UTTARA,Uttara
571,"raowa convention hall, mohakhali",MOHAKHALI,Mohakhali
573,"road no 15, block a,  bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
574,"ma babar dua tea store, abdullahpur , uttara",UTTARA,Uttara
579,"national eye hospital, rd 14, sector 13, uttara",UTTARA,Uttara
582,"h 2/b, rd 138, gulshan 1",GULSHAN 1,Gulshan
583,"jamuna bank tower . plot no 14 , block no cws ( c) , a k khondkar road , gulshan  1 , dhaka , bangladesh",BANGLADESH,Agargaon
584,"shanta virtue, sector 4, uttara",UTTARA,Uttara
587,"assort  nameer  , 8/i , road no . 2 , block d , basundhara r/a",BASUNDHARA R/A,Bashundhara
588,"north south university, bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
589,"rd 117 , gulshan 1",GULSHAN 1,Gulshan
590,"japan garden city , ring rd , mohammadpur",MOHAMMADPUR,Mohammadpur
594,"revolution on bikes , rd 10, mirpur dohs",MIRPUR DOHS,Mirpur
597,"excel academy , 11, road 7, dhanmondi",DHANMONDI,Dhanmondi
599,"meet 2 eat , nsu road , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
602,"83, road 13a, banani",BANANI,Banani
603,"login technologies  bd ltd , road 7 , gulshan 1 , gulshan",GULSHAN,Gulshan
604,"united commercial bank limited atm, shyamoli , mohammadpur",MOHAMMADPUR,Mohammadpur
606,"h 95 , rd 13 , banani",BANANI,Banani
607,"rafiqul haque & associates, malibagh rail gate , malibagh",MALIBAGH,Malibagh
608,"rd 7 , sector 1 , uttara",UTTARA,Uttara
609,"house 22 , road 9/b, sector 5, uttara",UTTARA,Uttara
613,"narail air travels and tours, sector 15, uttara",UTTARA,Uttara
615,"bailey road officers colony , sahid capten munsur ali avenue , wireless, paltan",PALTAN,Paltan
617,"pantha path , dhanmondi",DHANMONDI,Dhanmondi
620,"10/12, sir allama muhammad  iqbal road , mohammadpur",MOHAMMADPUR,Mohammadpur
621,"35,block d,sher shah suri road,mohammadpur",MOHAMMADPUR,Mohammadpur
622,"ieb tennis courts, maolana bhasani road, fakirapool, paltan",PALTAN,Paltan
623,"united hospital road 71,gulshan 2,gulshan",GULSHAN,Gulshan
625,"american international university bangladesh , 408/1, ( old ka 66/1) , kuratoli road , kuril , dhaka 1229",DHAKA 1229,Khilkhet
626,"mayer doa chotpoti and fuska, sector 5, uttara",UTTARA,Uttara
627,"horizontal 2,road 08,priyanka city,uttara",UTTARA,Uttara
629,"meraj nagar,dhaka,bangladesh",BANGLADESH,Agargaon
631,"house 189, road 6, block 6, block j , bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
635,"labaid cafe,green road,dhanmondi",DHANMONDI,Dhanmondi
637,"property tyre , h 38 , lake circus , kalabagan",KALABAGAN,Kalabagan
640,"hotel dhaka golden inn, block  k , banani",BANANI,Banani
641,"rd 7,sector 1,uttara",UTTARA,Uttara
642,"green life medical college & hospital pharmacy, h 32, crescent rd, kalabagan",KALABAGAN,Kalabagan
645,"chitrogolpo , mirpur dohs",MIRPUR DOHS,Mirpur
648,"rafiqul haque & associates,malibagh rail gate,malibagh",MALIBAGH,Malibagh
649,"0h 95,rd 13,banani",BANANI,Banani
654,"hazrat shahjalal international airport,terminal 2,airport road,new airport road,kurmitola,sector 2",SECTOR 2,Purbachal
659,"ahsania mission cancer & genral hospital,dhaka ashulia highway,sector 10,uttara",UTTARA,Uttara
661,"lab aid specialized hospital,house 6,road 4,dhanmondi",DHANMONDI,Dhanmondi
667,"rd 117,gulshan 1",GULSHAN 1,Gulshan
668,"327,road no 14,block a,basundhara r/a",BASUNDHARA R/A,Bashundhara
669,"grand dhaka hotel , dhaka mymensingh highway , sector 9, uttara, dhaka , bangladesdh , uttara",UTTARA,Uttara
670,"assort nameer,8/i,road  no 2,
block d,bashundhara r/a",BASHUNDHARA R/A,Bashundhara R/A
673,"attin arabian restaurant , h 9 , rd 22 , block  k , banani",BANANI,Banani
675,"ma general store,residential area,dhanmondi",DHANMONDI,Dhanmondi
676,"california fried chicken & pastry shop (cfc) , section 1 , mirpur",MIRPUR,Mirpur
679,"zayan tours & travels ltd ,  house  03 , road 17 , block d , banani",BANANI,Banani
680,"jamuna bank tower,plot no 14 block no cws (c),a k khondkar road,gulshan 1,dhaka,bangladesh",BANGLADESH,Agargaon
688,"hotel dhaka golden inn, block k, banani",BANANI,Banani
690,"h 30,rd 11,janata housing,mohammadpur",MOHAMMADPUR,Mohammadpur
692,"property tyre,  h 38 , lake  circus , kalabagan",KALABAGAN,Kalabagan
693,"north south university,basundhara r/a",BASUNDHARA R/A,Bashundhara
696,"north south university , basundhara r/a",BASUNDHARA R/A,Bashundhara
697,"attin arabian restaurant, h 9, rd 22, block k, banani",BANANI,Banani
699,"grand dhaka hotel , dhaka mymensigh highway ,srctor 9, uttara , dhaka , bangladesh , uttara",UTTARA,Uttara
708,"sobhanbag foot overbridge,mirpur rd,sobhanbag,dhanmondi",DHANMONDI,Dhanmondi
709,"california fried chicken & pastry shop (cfc), section 1, mirpur",MIRPUR,Mirpur
711,"new airport flower garden,new airport rd",NEW AIRPORT RD,Biman Bandar
713,"american international university bangladesh , 408/1 ( old ka 66/1), kuratoli road , kuril, dhaka 1229",DHAKA 1229,Khilkhet
714,"10/12, sir allama muhammad iqbal road, mohammadpur",MOHAMMADPUR,Mohammadpur
716,"jamuna bank tower , plot no 14 , block no cws(c) , a k khondkar road , gulshan 1 , dhaka , bangladesh",BANGLADESH,Agargaon
718,"solitaire,house 55,road 28,gulshan 1,gulshan",GULSHAN,Gulshan
721,"nilima 164,road 4,block d,basundhara r/a",BASUNDHARA R/A,Bashundhara
722,"mission farhan,428,road 11,basundhara r/a",BASUNDHARA R/A,Bashundhara
