Request time,Request Date,Trip Earnings,Fare,Safety Coverage Fee,Waiting Fee,Pickup Bonus,Discount,Surge,Pathao Net Commission,Pathao will Pay,You will Pay,Pickup Point,Destination Point,Distance,Duration,Trip Type,Unnamed: 0,Pickup Area
10:26:00 PM,11/17/2024,516.78,474.55,5,0.0,0,70,47.45,5.22,59.78,0,"House 45,Road 4,Block C,Banani,Dhaka","Global Vision, Plot 1,Road 8,Baridhara J Block,Dhaka,Bangladesh",11.62,39.7,Prime,,
9:40:00 PM,11/17/2024,424.71,429,2,0.0,0,70,0,4.29,63.71,0,"পেসক্রিপশন এইড,সেক্টর ১২,উত্তরা
","Matikata Bazar,Matikata Bazar Rd,Matikata",12.41,35.6,Plus,,
8:45:00 PM,11/17/2024,483.12,443.64,5,0.0,0,70,44.36,4.88,60.12,0,"Habiba Bhaban,H 510,Rs 9,Baridhara DOHS","H 7,Rd 14,sector 14,Uttara",9.47,44.6,Prime,,
8:09:00 PM,11/17/2024,443.52,407.27,5,0.0,0,70,40.73,4.48,60.52,0,"Domestic Terminal,New Airport Road,Kurmitola,Sector 2,","H Ka 25,Kalachandpur Main Rd,Kalachandpur",6.6,52.3,Prime,,
5:20:00 PM,11/19/2024,465.5,466.67,5,0.0,0,70,23.33,24.5,40.5,0,"express house, block h, banani","lalbagh fort,lalbagh rd,lalbag",10.31,46.1,Prime,,
3:01:00 PM,11/17/2024,300.2,300.95,5,0.0,0,70,15.05,15.8,49.2,0,"RD 1,BKOCK G,MIRPUR 1","ROAD NEW 01,MIRPUR DOHS,MIRPUR 12",5.49,27,Prime,,
11:20:00 AM,11/17/2024,261.53,275.29,2,0.0,0,66.55,0,13.77,50.79,0,"DR NADIA FERDOUS,RESIDENTIAL AREA,DHANMONDI","MIZAN TOWER,KALLYANPUR",3.05,51.8,Plus,16.0,Dhanmondi
9:21:00 AM,11/17/2024,460.75,440.91,5,0.0,0,0,44.09,24.25,0,29.25,"LE CHATEUA,GULSHAN 2,GULSHAN","BAYS PARK HEIGHTS,RESIDENTIAL AREA,DHANMONDI",9.82,53.8,Prime,17.0,Gulshan
7:37:00 AM,11/17/2024,408.5,430,2,0.0,0,0,0,21.5,0,23.5,"VHAI BON MASION,81,KALSI ROAD,SECTION 11","LAKESHORE HEIGHTS,GULSHAN 1,GULSHAN",10.88,45,Plus,,
3:29:00 PM,11/16/2024,458.85,483,2,0.0,0,110,0,24.15,83.85,0,"DUTCH BANGLA BANK ATM,AIRPORT ROAD,NEW AIRPORT ROAD,KURMITOLA,SECTOR`","1/1,ROAD 03,SECTION 2",17.21,57.1,Plus,,
2:49:00 PM,11/16/2024,342.95,361,2,0.0,0,121.61,0,18,101.56,0,"11,18,SECTION 10","DOMESTIC TERMINAL (DAC),HAZRAT SHAHJALAL,INTERNATIONAL AIRPORT",10.89,35,Plus,,
1:52:00 PM,11/16/2024,416.1,438,2,0.0,0,132,0,21.9,108.1,0,"BASUNDHARA MASJID,R4 ,RD 3,BLOCK D,BASUNDHARA R/A","DHANSHIRI,BUSINESS POINT,PLOT D,BLOCK C,LINE 4,MIRPUR 13",9.44,37.3,Plus,21.0,Bashundhara
1:14:00 PM,11/16/2024,335.35,353,2,0.0,0,80,0,17.65,60.35,0,"RABBANI HOTEL AND RESTURENT 1/1 MIRPUR RD,BEGUM ROKEYA SHARANI,SECTION 6",NORTH SOUTH UNIVERSITY (NSU),9.2,37.5,Plus,,
11:49:00 AM,11/16/2024,317.3,334,2,0.0,0,100.8,0,16.7,82.1,0,"POPULAR PLACE,SHEKHERTEK,MOHAMMADPUR","MIRPUR BANGLA HIGH SCHOOL,LN 2,MIRPUR 11",8.76,34.5,Plus,23.0,Mohammadpur
9:29:00 PM,11/17/2024,266.4,269.09,5,,,70,26.91,29.6,35.4,0,"AIRPORT ROAD,NEW AIRPORT ROAD,KURMITOLA,SECTOR 2","ZAM ZAM TOWER,SECTOR 13,UTTARA",4.92,20.6,Prime,24.0,Purbachal
8:36:00 PM,11/17/2024,670.5,677.27,5,,,70,67.73,74.5,0,9.5,"BAKSHIBAZAR GOVT. PRIMARY SCHOOL,HUSSAINI DALAN ROAD,NOORBAGH,SIDDIKBAZAR",HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,16.81,82,Prime,,
6:23:00 PM,11/17/2024,824.4,832.73,5,,,70,83.27,91.6,0,26.6,"BROTHERS FURNITURE LTD,SECTOR 4,UTTARA","SIMU HOME KITCHEN,NAZIMUDDIN ROAD,CHANKHARPUL",18.09,114,Prime,33.0,Uttara
3:46:00 PM,11/17/2024,929.28,1056,5,,,0,,126.72,0,131.72,"LUXOR,ZAFRABAD,MOHAMMADPUR","TONGI,GOVERNMENT COLLEGE,COLLEGE ROAD,1230",22.55,74.4,Prime,34.0,Mohammadpur
2:39:00 PM,11/17/2024,563.2,640,2,,,70,,76.8,0,8.8,"DAKSHIN MOLLA TAG,BOTTOLA,DAKSHIN MOLLA TAG,DAKSHINKHAN","NEW DHANMONDI RESTORA,ROAD 8/A,EAST RAYER BAZAR",16.93,74.4,Plus,,
3:23:00 PM,11/16/2024,345.84,374.29,5,,,80,18.71,47.16,27.84,0,"NANDAN DEWAN PARK,SECTOR 4,UTTORA",HOUSE 177  ROAD 2 BARIDHARA DOHS,9.96,32.9,Prime,,
6:14:00 PM,11/17/2024,901.55,949,2,,,0,,47.45,0,9.45,"450/1,WEST KAFRUL,MUKTI HOUSING","SOHAN STORE,GHORASHAL HIGHWAY,MIRASPARA,MOINARTEK",19.67,88.2,Plus,,
3:17:00 PM,11/17/2024,469.3,494,2,,,70,,24.7,43.3,0,"RD 19,SECTOR 11,UTTARA","728/1,BEGUM ROKEYA SHARANI,WEST KAFRUL ,PURBA KAZIPARA",12.85,51,Plus,39.0,Uttara
12:38:00 PM,11/17/2024,211.85,223,2,,,56.25,,11.15,43.1,0,"VIVEK MAJESTA,GULSHAN 2,GULSHAN","H37,RD 17,NIKUNJA 2",5.24,35.2,Plus,40.0,Gulshan
9:26:00 AM,11/17/2024,423.7,446,5,,,0,,22.3,0,22.3,"H 695/6,RD 11,ADABOR","IFAD TOWER,PLOT 7,INDUSTRIAL AREA,TEJGAON",6.91,39.4,Prime,,
3:17:00 PM,11/16/2024,813.2,778.18,2,,,80,77.82,42.8,35.2,0,"UTTAR PARA , KHILKHET",SADARGHAT LAUNCH TERMINAL,17.27,72.6,Plus,,
10:19:00 AM,11/16/2024,889.2,936,2,,,0,,46.8,0,48.8,"AIRPORT ROAD , NEW AIRPORT ROAD , KURMITOLA , SECTOR 2","CHANDRIMA MODEL TOWN, HAZI DIL MOHAMMAD AVE, RAMCHANDRAPUR , MOHAMMADPUR",21.4,67.8,Plus,43.0,Purbachal
10:44:00 PM,11/16/2024,248.9,238.18,5,,,166.75,23.82,13.1,148.65,0,"FRESCO, H 36,NORTH RD,DHANMONDI","AARONG,LALMATIA",2.38,17.4,Prime,56.0,Dhanmondi
2:40:00 PM,11/16/2024,327.75,345,2,,,104.1,,17.25,84.85,0,"GATEWAY OVERSEAS EDUCATION SOLUTION , ROAD O3, BLOCK B, NIKETON","BOATGHAT MASJID, KHILKHET NAMAPARA RD, UTTAR PARA , KHILKHET",9.11,35.8,Plus,57.0,Niketon
9:35:00 PM,11/16/2024,669.75,640.91,5,,,80,64.069,35.25,39.75,0,"XINXIAN RESTURANT,SECTOR 1,UTTARA","PURBA RAJA BAZAR JAME MASJID,RAJA BAZAR RD,EAST RAJA BAZAR,SHER E BANGLA NAGAR",18.65,51.6,Prime,58.0,Uttara
9:55:00 PM,11/16/2024,234.65,224.55,5,,,63,22.45,12.35,45.65,0,"H  5, RD 20, NIKUNJA 2","DOMESTIC TERMINAL (DAC) , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT",2.44,13,Prime,59.0,Nikunja
7:51:00 PM,11/16/2024,483.55,462.73,5,,,80,46.27,25.45,49.55,0,"BANANI BRIDGE,GULSHAN 2,GULSHAN","TINYDEN CHILD DAY CARE,MIRPUR DOHS",11.01,40,Prime,60.0,Gulshan
1:53:00 PM,11/16/2024,288.8,304,2,,,91.8,,15.2,74.6,0,"DATACRIFT LIMITED , RESIDENTIAL AREA , DHANMONDI","NAM VILLA, GULSHAN 1 , GULSHAN",7.21,35.4,Plus,61.0,Dhanmondi
5:31:00 PM,11/16/2024,511.1,489.09,5,,,80,48.91,26.9,48.1,0,"16/A,AVENUE 4,SECTION 11","SKY DINE ROOFTOP RESTURANT,ROAD 4,NIKETON,GULSHAN",10.49,51.8,Prime,,
8:16:00 PM,11/16/2024,142.5,150,2,,,38,,7.5,28.5,0,"PLAYPEN, H 271, RD 14, BLOCK C, BASUNDHARA R/A","SCHOLASTICA, SECTOR 1 , UTTARA",2.68,5.7,Plus,63.0,Bashundhara
4:23:00 PM,11/16/2024,367.65,368.57,5,,,80,18.43,19.35,55.65,0,"HOUSE 44,ROAD 12B,BLOCK E,BANANI,DHAKA","VASANTEK MARKET,BAZAR RD,VASHANTEK",8.47,28.1,Prime,,
12:51:00 PM,11/16/2024,517.75,545,2,,,80,,27.25,50.75,0,"75 NAYA PALTAN , MOSJID GOLI","INTERNATIONAL HOPE SCHOOL BANGLADESH , SECTOR 4, UTTARA",17.03,55,Plus,,
7:37:00 PM,11/16/2024,337.25,322.73,5,,,80,32.27,17.75,57.25,0,"52/3, ROAD 2/1, SECTION 12",NORTH SOUTH UNIVERSITY (NSU),8.54,22.2,Prime,66.0,Mirpur
12:20:00 PM,11/16/2024,279,295.24,5,,,78.75,14.76,31,42.75,0,"SCHOOLAR'S SCHOOL AND COLLEGE , H 63, 71, RD  7/A, DHANMONDI","JATIYO PARTY CENTRAL OFFICE , PIONEER RD , BIJOYNAGAR",5.34,26.1,Prime,67.0,Dhanmondi
1:21:00 PM,11/17/2024,194.48,210.48,5,,,56.5026,10.52,26.52,24.98,0,"IBN SINA DIAGNOSTIC & CONSULTATION CENTRE, GAREEB E NAWAZ AVENUE , SECTOR 13, UTTARA","HOUSE 9, ROAD 17, SECTOR 14, UTTARA",1.07,15,Prime,68.0,Uttara
7:11:00 PM,11/17/2024,731.5,700,5,,,70,70,38.5,26.5,0,"HERFY,BLOCK I,BASHUNDHARA R/A","SUVASTU ARCARE (ICT BHABAN),NEW ELEPHANT ROAD,KATABON",14.41,93.6,Prime,69.0,Bashundhara R/A
2:50:00 PM,11/17/2024,264.1,278,2,,,56,,13.9,40.1,0,"PLOT 330,RD 14,BLOCK A,BASUNDHARA R/A","NIKUNJO 2,ROAD 12,KITS LIMITED",4.57,21.7,Plus,71.0,Bashundhara
6:17:00 PM,11/17/2024,1552.54,1485.68,5,,,70,148.57,81.71,0,16.71,"SOROK 12,BASUNDHARA R/A","122,D BLOCK 7 NO ROAD,BLOCK D,BASUNDHARA R/A",31.26,182,Prime,72.0,Bashundhara
10:43:00 AM,11/17/2024,395.1,439,2,,,110,,43.9,64.1,0,"NR TOURS & TRAVELS,SECTOR 4,UTTARA","THE PROFESSIONAL NETWORK & LIMK TPNL,RD 4,BANANI DOHS",10.72,54.2,Plus,73.0,Uttara
7:08:00 PM,11/17/2024,280.25,268.18,5,,,70,26.82,14.75,50.25,0,"METRO PROPERTIES LIMITED,ROAD 36,GULSHAN 2,GULSHAN","BLOCK A,ROAD18,HOUSE 9 ,BANANI",2.23,21.5,Prime,74.0,Gulshan
5:26:00 PM,11/17/2024,276.45,291,5,,,70,,14.55,50.45,0,"SHOHAH MANZIL,KA 86/A,RD 12,BARIDHARA DOHS","THE WESTIN DHAKA,GULSHAN 2,GULSHAN",3.21,25.5,Prime,,
3:24:00 PM,11/16/2024,464.55,465.71,5,,,80,23.29,24.45,50.55,0,"GULEV JANNAT ARIFABAD MAHILA MADRASA, I/10 , ARIFABAD HOUSING ROAD , EXTENDED PALLABI , MIRPUR","HOTEL TROPICAL DAISY , GULSHAN 2, GULSHAN",11.86,35.4,Prime,76.0,Mirpur
5:15:00 PM,11/17/2024,388.55,409,2,,,0,,20.45,0,22.45,"CAFE HUNGRY BITES,SATMASJID RD,JIGATALA","THIKANA,K-1/B,LICHU BAGAN RD,JOAR SHAKARA",11.92,53.5,Plus,,
2:32:00 PM,11/17/2024,473.1,498,2,,,70,,24.9,43.1,0,"H18,MAIND RD,SOUTH BANASHREE PROJECT",JAPAN BANGLADESH FRIENDSHIP HOSPITAL,10.75,41.9,Plus,,
12:51:00 AM,11/16/2024,352.8,356.36,5,,,80,35.64,39.2,35.8,0,"HEAVEN SALON , 77, ROAD 17A , BANANI","RASHID LAKE VIEW , ROAD 7 , DHANMONDI , DHAKA , RESIDENTIAL AREA",9.38,18.1,Prime,79.0,Banani
1:32:00 PM,11/17/2024,621.3,622.86,5,,,70,31.14,32.7,33.2,0,"DUTCH BANGLA BANK LIMITED,4,SHYAMOLI ROAD NO 2,SHYAMOLI COMPLEX,SHYAMOLI","TEMPO STAND 1,SOUTH BANASHREE",11.72,59.9,Prime,,
11:21:00 AM,11/16/2024,280.25,261.9,5,20.0,,75,13.1,14.75,55.25,0,"EMON MAHMUD, HOUSE 1, ROAD 7, BLOCK B, RAJMONI TOWER ,NOBODOY HOUSING.","IBN SINA MEDICAL IMAGING CENTER, ZIGATOLA.",4.33,26.5,Prime,,
12:55:00 PM,11/16/2024,333.45,351,2,,,80,,17.55,60.45,0,"UNIQUE DIAGNOSTIC CENTER , GREEN ROAD, DHANMONDI","AMENA MONJIL, 144/2, EAST AHMED NAGAR, JONAKI ROAD, MUKTI HOUSING, DOKKHIN MONIPUR",8.35,38.2,Plus,82.0,Dhanmondi
1:04:00 PM,11/17/2024,631.75,633.33,5,,,70..00,31.67,33.25,31.75,0,"REALIANCE BUILDING, H 146, RD 8, BLOCK D, BASHUNDHARA R/A","H 91/2, FREE SCHOOL ST, KATHALBAGAN",13.56,56.4,Prime,83.0,Bashundhara R/A
2:27:00 PM,11/17/2024,536.75,545,2,20.0,,80,,28.25,49.75,0,"73/H/1, SHAHID BUDDIJIBI MUNIR CHOWDHURY ROAD, DHANMONDI",HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,14.8,32,Plus,84.0,Dhanmondi
5:39:00 PM,11/17/2024,412.3,434,2,,,70,,21.7,46.3,0,"METLIFE ALICO (KADER AGENCY) UTTARA , DHAKA , SECTOR 7","132,ROAD NO. 4, BASHUNDHARA R/A",10.16,51,Plus,,
7:22:00 PM,11/17/2024,449.35,473,2,,,0,,23.65,0,20.65,"SUMON TEA STORE , SHYAMOLI , MUHAMMADPUR","AMERICAN INTERNATIONAL UNIVERSITY BANGLADESH , 408/1(OLD KA 66/1), KURATOLI ROAD, KURIL , DHAKA 1229",15.64,56,Plus,,
10:49:00 PM,11/17/2024,367.65,351.82,5,,,170,35.18,19.35,145.65,0,"H 662, RD 20, BLOCK F, BASHUNDHARA R/A","KOSAI BARI RAIL CROSSING KOSAI BARI LEVEL CROSSING, SECTOR 2, UTTO",8.31,23.9,Prime,87.0,Bashundhara R/A
12:32:00 PM,11/17/2024,231.8,244,5,,,62.25,,12.2,45.05,0,"MUKTA PHARMACY,COMMERCE COLLEGE ROAD,SECTION 2","GABTALI BUS TERMINAL,GABTALI,GABTALI",3.93,15.3,Prime,88.0,Mirpur
11:08:00 AM,11/17/2024,424.65,447,2,,,67.35,,22.35,43,0,"DR CHADAT ULLAH NATIONAL SCHOOL,40/B2,SYLHETI PARA ROAD,MANESHWAR,HAZARIBAG","DHAKA COMMERCE COLLEGE,COMMERCE COLLEGE RD,MIRPUR 2",11.64,45.4,Plus,,
6:26:00 PM,11/17/2024,495,500,5,,,70,50,55,10,0,"SHELTECH SIERRA,236,NEW ELEPHANT ROAD","SUHROH MANZIL,H 14,RD 3,PC CULTURE HOUSING SOCIETY,MOHAMMADPUR",5.86,52,Prime,,
3:52:00 PM,11/17/2024,534.16,578.1,5,,,70,28.9,72.84,0,7.84,"KHUSHBU,111,ROAD 4,BLOCK C,BASUNDHARA R/A","RAJDHANI SUPER MARKET,HATKHOLA RD,TIKATULI",13.32,62.4,Prime,91.0,Bashundhara
9:47:00 PM,11/17/2024,310.5,313.64,5,,,70,31.36,34.5,30.5,0,"APURUPA HAIR STYLE,R K MISSION RD,GOPIBAG","SHAWARMA KING,BLOCK F, BANASREE",7.2,30.5,Prime,92.0,Gopibagh
8:39:00 PM,11/17/2024,448.2,498,2,,,0,,49.8,0,51.8,"KOMIKA NID MAHAL,423,SOUTH PAIKPARA,GARDEN VIEW ROAD,MUKTI HOUSING,DAKSHIN PAIKPARA","KAMALAPUR RAILWAY STATION,KAMALAPUR",10.58,58.3,Plus,,
6:17:00 PM,11/17/2024,220.5,245,2,,,49.4,,24.5,22.9,0,"H 8 , RD 30, DHANMONDI","PRINCE BAZAR LTD, TAJMAHAL ROAD, MPHAMMADPUR",3.01,32.6,Plus,95.0,Dhanmondi
4:03:00 PM,11/17/2024,300.08,341,2,,,100,,40.92,57.08,0,MUTUAL TRUST BANK,"SUKRABAD BUS STOP , MIRPUR RD , SUKRABAD, DHANMONDI",8.36,39.3,Plus,,
1:48:00 PM,11/17/2024,285.12,294.55,5,,,70,29.45,38.88,26.12,0,"SPICY CHICKEN RESTAURENT, JAHURUL ISLAM AVE, MERUL BADDA","HODA VASI CHOWDHURY & CO, KAWRAN BAZAR FDC ROAD , WIRELESS, NIKETON",5.2,27,Prime,,
3:37:00 PM,11/17/2024,254.32,275.24,5,,,70,13.76,34.68,30.32,0,"H 93/1 , RD 8, NIKETON","TRIBUTE HOMES, 35, ROAD 114, GULSHAN 2, , GULSHAN",2.78,27.8,Prime,98.0,Niketon
8:00:00 AM,11/22/2024,656.1,662.73,5,,,70,66.27,72.9,0,7.9,"PROJONMO BUS STOP,JAGANNATH UNIVERSITY,ATISH DEOANKAR ROAD,MODDHO BASHABO,SHHJAHANPUR","WORLD UNIVERSITY OF BANGLADESH(WUB),AVENUE 6,SECTOR 17,UTTARA",20.23,49.5,Prime,,
9:09:00 AM,11/22/2024,520.6,548,2,,,70,,27.4,40.6,0,"NASIM ENTERPRISE,SECTOR 12,UTTARA","H 12,DOCTOR GOLI,MALIBAGH",19.51,49.4,Plus,100.0,Uttara
10:18:00 AM,11/22/2024,222.3,222.86,5,,,59.75,11.14,11.7,43.05,0,"BAILEY VISTA. H 6,SIDDHEWARI LN,SIDDHESWARI","NEW EASKATON RD,NEW EASKATON",2.29,13,Prime,,
1:04:00 PM,11/22/2024,358.15,342.73,5,,,70,34.27,18.85,46.15,0,"AMICUS,HOUSE 8,MYMENSINGH ROAD,PARIBAGH,SHAHBAGH","BLOCK C,BANASHREE",5.22,24,Prime,,
2:52:00 PM,11/22/2024,257.45,246.36,5,,,69,24.64,13.55,50.45,0,"AL AMIN HOUSE, H 8,RD 1 ,BLOCK A,BANASHREE","NIHARIKA,H7,SIDDEHWARI RD,SIDDESHWARI",4.02,15.9,Prime,,
3:07:00 PM,11/22/2024,289.75,305,2,,,76.75,,15.25,59.5,0,"RATAN KUTIR,H 146/1,NEW BAILEY RD","SHYAMOLI ROAD NO 1,MUKTI HOUSING,SHYAMOLI",7.88,31.3,Plus,,
5:22:00 PM,11/22/2024,335.35,353,2,,,88.75,,17.65,69.1,0,"KOHINUR GENERAL STORE,H 2/2,MIRPUR RD,LALMATIA","BASABO,DHAKA,BANGLADESH",8.09,40.5,Plus,,
11:09:00 AM,11/19/2024,905.4,1006,5,,,0,,100.6,0,105.6,"MUTUAL TRUST BANK,AIRPOR ROAD,NEW AIRPORT ROAD,KURMITOLA,SECTOR 2.","ALINAGAR CHAPULIA MASJID,SHIMULTOLY RD,1702",24.25,75,Prime,,
7:31:00 PM,11/19/2024,511.2,568,2,,,70,,56.8,11.2,0,"HOUSE 80,RD 12,SECTOR 10","ANANYA SHOPPING COMPLEX,BARIDHARA D O H S MAIN ROAD,DOHS BYPASS,GULSHAN",12.8,75,Plus,,
9:59:00 PM,11/19/2024,4604.4,5116,2,,,0,,511.6,0,513,SHANTINAGAR BUS STOP,"MANDARI,LAKSHMIPUR SADAR,LAKSHMIPUR",157.35,289.2,Plus,,
5:48:00 AM,11/19/2024,219.3,234.55,5,,,65.75,23.45,38.7,22.05,0,"TAHMINA MANZIL,209/1,195 SHANTIBAG ROAD,SHANTIBAGH,MALIBAGH","IBA,UNIVERSITY OF DHAKA,JASIMUDDIN HALL RD,UNIVERSITY OF DHAKA",4.22,11.6,Prime,112.0,Malibagh
6:06:00 AM,11/19/2024,233.75,275,2,,,41.55,,41.25,0,1.7,"DHAKA MEDICAL HOSPITAL 2,ZAHIR RAIHAN SARANI,DHAKA MEDICAL COLLEGE","IBN SINA HOSPITAL,RD 15/A,DHANMONDI",6.31,23,Plus,,
6:17:00 AM,11/23/2024,489.6,505.45,5,20.0,,70,50.55,86.4,0,21.4,"UNIVERSAL MUSIC & TIME BOOKS DOCTOR GOLI,MALIBAGH",HAZRAT SHAHJALAL INTERTNATIONAL AIRPORT,13.94,22.8,Prime,114.0,Malibagh
7:38:00 PM,11/20/2024,411.4,484,2,,,0,,72.6,0,74.6,"NTRENZ,MIRPUR,DOHS RD,PALLABI","AZNARA,BLOCK F",8.47,76.8,Plus,115.0,Pallabi
9:16:00 PM,11/20/2024,277.1,326,2,,,0,,48.9,0,50.9,"KAVAZO,ROAD 11,BLOCK H,BANANI","DHAKA MOHILA COLLEGE,H 23,RD 7,DHANMONDI",8.54,28.7,Plus,116.0,Banani
8:00:00 AM,11/22/2024,656.1,662.73,5,,,70,66.27,72.9,0,7.9,"PROJONMO BUS STOP, JAGANNATH UNIVERSITY, ATISH DEPANKAR ROAD, MODDHO BASHABO, SHHJAHANPUR","WORLD UNIVERSITY OF BANGLADESH (WUB), AVENUE 6, SECTOR 17, UTTARA",20.23,49.5,Prime,,
9:09:00 AM,11/22/2024,520.6,548,2,,,70,,27.4,40.6,0,"NASIM ENTERPRISE, SECTOR 12, UTTARA","H 12,DOCTOR GOLI, MALIBAGH",19.51,49.4,Plus,120.0,Uttara
10:18:00 AM,11/22/2024,222.3,222.86,5,,,59.75,11.14,11.7,43.05,0,"BAILEY VISTA, H 6 , SIDDHESWARI LN, SIDDHESWARI","NEW EASKATON RD , NEW EASKATON",2.29,13,Prime,,
7:24:00 AM,11/21/2024,246.5,290,2,,,43.8,,43.5,0,1.7,"NAWAB HABIBULLAH MODEL SCHOOL & COLLEGE,SHAHJALAL AVE,SECTOR 4,UTTARA","JAMUNA FUTURE PARK ENTRY WAY,PROGATI SARANI,BASUNDHARA",6.69,31,Plus,122.0,Uttara
1:04:00 PM,11/22/2024,358.15,342.73,5,,,70,34.27,18.85,46.15,0,"AMICUS, HOUSE 8, MYMENSINGH ROAD, PARIBAGH, SHAHBAGH",BLOCK C BANASHREE,5.22,24,Prime,,
9:36:00 AM,11/20/2024,340.1,325.45,5,,,70,32.55,17.9,47.1,0,"INSAF BARAKAH  KIDNEY & GENERAL HOSPITAL , SHAHID TAJUDDIN AHMED SARANI , MOGBAZAR","MOKKA BIRIANI , H 1 , LALBAG RD , AMLIGOLA , LALBAG",5.26,36.1,Prime,,
2:52:00 PM,11/22/2024,257.45,246.36,5,,,69,24.64,13.55,50.45,0,"AL AMIN HOUSE , H8, RD 1, BLOCK A, BANASHREE","NIHARIKA , H 7, SIDDESHWARI RD, SIDDESHWARI",4.02,15.9,Prime,,
4:25:00 PM,11/20/2024,535.81,537.15,5,,,70,26.86,28.2,36.8,0,"AL HERA JAME MASJID , PILKHANA  RD , AZIMPUR","CKD UROLOGY HOSPITAL , 32, ROAD NO 3, MUKTI HOUSING , SHYAMOLI",6.12,79.8,Prime,,
3:07:00 PM,11/22/2024,289.75,305,2,,,76.75,,15.25,59.5,0,"RATAN KUTIR , H 146/1, NEW BAILY RD","SHYAMOLI ROAD NO. 1 , MUKTI HOUSING, SHYAMOLI",7.88,31.3,Plus,,
5:22:00 PM,11/22/2024,335.35,353,2,,,88.75,,17.65,69.1,0,"KOHINUR GENERAL STORE , H 2/2, MIRPUR RD, LALMATIA","BASABO, DHAKA , BANGLADESH",8.09,40.5,Plus,,
6:48:00 PM,11/20/2024,418.95,441,5,,,70,,22.05,42.95,0,"MISAMI BITOPI , H 822/3 4 , BEGUM ROKEYA SARANI , WEST SHEWRAPARA","INTEX JAMINA MANJIL , 181/1, SHANTIBAGH, DHAKA",7.91,54.2,Prime,,
11:09:00 AM,11/19/2024,905.4,1006,5,,,0,,100.6,0,105.6,"MUTUAL TRUST BANK, AIRPORT  ROAD, NEW AIRPORT ROAD, KURMITOLA, SECTOR 2","ALINAGAR CHAPULIA MASJID, SHIMULTOLY RD,  1702",24.25,75,Prime,130.0,Purbachal
9:39:00 AM,11/21/2024,834.68,798.74,5,,,70,79.87,43.93,21.07,0,"H 16 , GOPIBAG 3RD LN , GOPIBAG","AUTISM WELFARE FOUNDATION , H 38 , RD 4, PC CULTURE HOUSING SOCIETY , MOHAMMADPUR",11.18,118.2,Prime,131.0,Gopibagh
7:31:00 PM,11/19/2024,511.2,568,2,,,70,,56.8,11.2,0,"HOUSE 80 , RD 12 , SECTOR 10","ANANYA SHOPPING COMNPLEX,  BARIDHARA D.O.H.S MAIN ROAD , DOHS BYPASS, GULSHAN",12.8,75,Plus,,
