Start Coordinates,End Coordinates,Start Location Name,End Location Name
"""(23.88966938920258, 90.43679120310676)""","""(23.774732211524103, 90.35115229174582)""",dhanmondi 27 no bus stop,east kazipara
"""(23.702743763888297, 90.32099385018577)""","""(23.872416432755752, 90.31592537874229)""",dhanmondi 27 no bus stop,jigatola
"""(23.804547799733925, 90.48486845733893)""","""(23.745191616465014, 90.34628644063346)""",dhanmondi 27 no bus stop,kalabagan
"""(23.890043747902922, 90.4960187686125)""","""(23.891110433791493, 90.46435893945988)""",dhanmondi 27 no bus stop,kalabaganv
"""(23.828968437726385, 90.39179313265662)""","""(23.75524640297374, 90.37782417812825)""",dhanmondi 27 no bus stop,kallyanpur
"""(23.837523967633995, 90.3258536276116)""","""(23.762190269145307, 90.33650901374502)""",dhanmondi 27 no bus stop,kathalbagan bazar
"""(23.756359613994228, 90.33227779114762)""","""(23.746172389129857, 90.44565926880722)""",dhanmondi 27 no bus stop,mirpur 11
"""(23.81188175831866, 90.4460576236205)""","""(23.731607019835472, 90.39456394024478)""",dhanmondi 27 no bus stop,"square hospital, panthapath,"
"""(23.798163485266958, 90.31292960313552)""","""(23.741957508741127, 90.30345900188749)""",dhanmondi 27 no bus stop,"square hospital, panthapath,	1"
"""(23.874756086817676, 90.49436186042603)""","""(23.824681096563687, 90.4149202680218)""",dhanmondi 27 no bus stop,taltola
"""(23.82935881023656, 90.42960726029354)""","""(23.75565321446924, 90.3271504854359)""",dhanmondi 27 no bus stop,tsc circle
"""(23.876673672353085, 90.30949663372415)""","""(23.797644868989355, 90.36225495353627)""",dhanmondi 27 no bus stop,kathalbagan bazar
"""(23.796847924851306, 90.39347504886929)""","""(23.889253761334174, 90.34797792677601)""",dhanmondi 27 no bus stop,jigatola
"""(23.893259258030078, 90.34290403489018)""","""(23.758817757723314, 90.38199890954104)""",jatrabari mor,arambagh
"""(23.707360324794333, 90.41093725848474)""","""(23.885574147526263, 90.43955118247797)""",jatrabari mor,azimpur
"""(23.882606759266373, 90.4998038829507)""","""(23.89313414917125, 90.31066453983522)""",jatrabari mor,bijoy nagar water tank
"""(23.834987439744264, 90.4905668801705)""","""(23.71742475057574, 90.48883744588902)""",jatrabari mor,dhaka college
"""(23.748857630709136, 90.47545670047559)""","""(23.78594876347871, 90.45996365363864)""",jatrabari mor,gulistan underground market
"""(23.840430536616665, 90.4054951030485)""","""(23.865130606439518, 90.38135973580876)""",jatrabari mor,karatitola
"""(23.770291947258766, 90.42190488346691)""","""(23.892177118399793, 90.49540881593167)""",jatrabari mor,"karatitola,"
"""(23.728203544509523, 90.48577530424657)""","""(23.704158728450402, 90.47490675433335)""",jatrabari mor,"mugda medical college and hospital,"
"""(23.815959331304168, 90.430200129674)""","""(23.74713276682615, 90.33288991341303)""",jatrabari mor,narinda
"""(23.81393935530772, 90.43990143820922)""","""(23.807155285333046, 90.40948763341457)""",jatrabari mor,science lab over brg
"""(23.89377093943792, 90.34980131603385)""","""(23.716400854130452, 90.43659727045585)""",jatrabari mor,wari
"""(23.840565327259533, 90.44004424652161)""","""(23.755558903899953, 90.33452923781215)""",kamlapur,arambagh
"""(23.865043985075392, 90.38181126278079)""","""(23.72672768834286, 90.42988418746438)""",kamlapur,dhanmondi 27 no bus stop
"""(23.874538464695604, 90.48757286810745)""","""(23.853072164728825, 90.49583941141843)""",kamlapur,gulshan 1
"""(23.814913256986625, 90.44795463734195)""","""(23.868920807599, 90.30325831598488)""",kamlapur,kakrail
"""(23.716900395097696, 90.475989632737)""","""(23.72201059115085, 90.46180869567809)""",kamlapur,kalabagan
"""(23.75807010820895, 90.32061554982064)""","""(23.785348153761273, 90.37246377095775)""",kamlapur,mohammadpur bus stand
"""(23.85944906778561, 90.39477575131572)""","""(23.720925479454735, 90.44217298260908)""",kamlapur,naya paltan
"""(23.804653817752303, 90.42629639008302)""","""(23.83090502253683, 90.3572170587317)""",kamlapur,rajarbagh police lines
"""(23.888971649666633, 90.4668520778974)""","""(23.827729266395274, 90.39845702713241)""",kamlapur,ramna
"""(23.89253619378131, 90.3912277827232)""","""(23.76138180500747, 90.30180563860937)""",kamlapur,tsc circle
"""(23.88615967025871, 90.44264844592344)""","""(23.77128862894991, 90.37860412887902)""",kolabagan,azimpur bus stand
"""(23.747814300997955, 90.4692355036763)""","""(23.89028526555695, 90.47747714259793)""",kolabagan,bashabo
"""(23.718113779269892, 90.471490891974)""","""(23.839410508611067, 90.31067705004915)""",kolabagan,gabtoli
"""(23.7346682437189, 90.42425805456627)""","""(23.80363585684205, 90.30582187767924)""",kolabagan,gandaria rail station
"""(23.875176136198803, 90.35906894721684)""","""(23.867302751999304, 90.40324353539164)""",kolabagan,green life medical college hospital
"""(23.81071546281409, 90.37014461225068)""","""(23.768784477216762, 90.42208562946645)""",kolabagan,hazaribagh
"""(23.717448188318656, 90.37042153360379)""","""(23.778055100233473, 90.41347595530343)""",kolabagan,jatrabari mor
"""(23.864224585784598, 90.37600299851842)""","""(23.895906305141413, 90.41266401795363)""",kolabagan,jigatola
"""(23.811764738713375, 90.33609639297644)""","""(23.749280651555313, 90.3892809051187)""",kolabagan,motalib plaza
"""(23.79910784732856, 90.33375883732293)""","""(23.802993672317307, 90.3940752436875)""",kolabagan,nobodoy housing society
"""(23.791998842311852, 90.37099719940146)""","""(23.76521544101184, 90.38689090791274)""",kolabagan,tt para bus stand
"""(23.740777114861647, 90.36890994499458)""","""(23.750198212765188, 90.41770200603267)""",mirpur -10,agargaon circle
"""(23.882388743436206, 90.38390237599464)""","""(23.893728149754924, 90.32831284299287)""",mirpur -10,dhaka new market
"""(23.82603164395084, 90.39821139410479)""","""(23.875223618890413, 90.3820993150636)""",mirpur -10,"geneva camp,dhaka"
"""(23.873570863929157, 90.46766248151418)""","""(23.82393789238811, 90.36759563787624)""",mirpur -10,kallyanpur
"""(23.738221168306637, 90.48718122178104)""","""(23.71422673285461, 90.4091704545101)""",mirpur -10,kazipara metro station
"""(23.804859711806692, 90.44066721942596)""","""(23.87212233406756, 90.45879768781995)""",mirpur -10,nilkhet rd
"""(23.733447530646306, 90.47649024971314)""","""(23.805085567440617, 90.35020707729893)""",mirpur -10,science lab over brg
"""(23.841414485828206, 90.49005804270057)""","""(23.84525992955495, 90.42140620281371)""",mirpur -10,sher-e-bangla national cricket stadium
"""(23.827658026033433, 90.40639883677791)""","""(23.877658234563683, 90.41561542083686)""",mirpur -10,shewrapara metro station
"""(23.884486133849894, 90.41234182084588)""","""(23.846236036172446, 90.48643651936217)""",mirpur -10,shia jame masjid
"""(23.89987648468928, 90.40383528003129)""","""(23.82468721917304, 90.37603397074486)""",mirpur -10,shishu mela footover bridge
"""(23.790109982000974, 90.32762188003713)""","""(23.724822016610766, 90.36428501642423)""",mohammadpur bus stand,azimpur bus stand
"""(23.848420593230333, 90.40664406748675)""","""(23.816320413099923, 90.33260932778744)""",mohammadpur bus stand,banani
"""(23.77768397834059, 90.46485673547862)""","""(23.864865283885404, 90.33276733588569)""",mohammadpur bus stand,bashundhara city shopping complex
"""(23.809100959590843, 90.47120057005777)""","""(23.87232571542027, 90.36491321292513)""",mohammadpur bus stand,dhanmondi - 15 bus stand
"""(23.875923654463936, 90.33408810536397)""","""(23.768415840816058, 90.41570774917996)""",mohammadpur bus stand,karwan bazar
"""(23.83214249848571, 90.49076439943295)""","""(23.80075968429083, 90.49533557471587)""",mohammadpur bus stand,"lalbagh fort, lalbagh road, dhaka"
"""(23.75829523107274, 90.35365981317776)""","""(23.881524157414205, 90.36754500686327)""",mohammadpur bus stand,mirpur 10
"""(23.88693250845432, 90.45155554306949)""","""(23.87993166771375, 90.4129658864111)""",mohammadpur bus stand,mirpur 11
"""(23.811152754432335, 90.4720160382269)""","""(23.87377955005883, 90.31459802183616)""",mohammadpur bus stand,mohammadpur town hall market
"""(23.85662998619424, 90.35395209661681)""","""(23.7864657939724, 90.35849149701123)""",mohammadpur bus stand,motijheel
"""(23.745327292444788, 90.32729215345142)""","""(23.892247089611384, 90.46545510112881)""",mohammadpur bus stand,square hospital
"""(23.899469169376644, 90.37779349858235)""","""(23.795403847975553, 90.41389175764485)""",tsc circle,dhaka uddan housing
"""(23.860040957293776, 90.400499621174)""","""(23.735875058250652, 90.34789742927023)""",tsc circle,dhanmondi 15 bus stand
"""(23.726227374433527, 90.36588790272401)""","""(23.789436580458243, 90.30023143232872)""",tsc circle,kaptan bazar
"""(23.830947145869548, 90.47486774572931)""","""(23.73121186558115, 90.49201477399586)""",tsc circle,katabon
"""(23.750517478989693, 90.42775590845244)""","""(23.885386034625267, 90.40963222226505)""",tsc circle,kazipara metro station
"""(23.73782753135455, 90.31997140763248)""","""(23.754462368705063, 90.40653628170081)""",tsc circle,lab aid hospital
"""(23.78846380737686, 90.44600936347409)""","""(23.851327179947802, 90.31782282755199)""",tsc circle,mohammadpur bus stand
"""(23.818690831367295, 90.45340416039396)""","""(23.76767043748237, 90.34706419804677)""",tsc circle,mugda medical college and hospital
"""(23.761824629176658, 90.43523674417357)""","""(23.84355587730097, 90.30534412791434)""",tsc circle,mugga medical college and hospital
"""(23.761804245467182, 90.36115017858707)""","""(23.73925319660184, 90.36529639500347)""",tsc circle,nilkhet rd
"""(23.748640802239702, 90.43000102377403)""","""(23.862149828252896, 90.39240585686993)""",tsc circle,"shahid nagar,dhaka"
