"","location"
"4479","RANGS BABYLONIA , 246 , BIR UTTAM MIR SHAWKAT SARAK , EAST NAKHAL PARA , NIKETAN"
"4480","609, ROADA NO 7, BASHUNDHARA R/A"
"4481","PROF DR ATAHAR ALI CARDIOLOGIST ELECTROPHYSIOLOGIST AND HEART FAILURE SPECIALIST,BLOCK E,BASUNDHARA R/A"
"4482","RAYHAN"
"4483","YES TO YOUTH,MATIKATA,MIRPUR ECB"
"4484","NANDAN AL-RAWDAH , BLOCK D , BASHUNDHARA R/A"
"4485","MODINA HARDWARE , H 13 , SHEKHERTEK MAIN ES , MOHAMMADPUR"
"4486","MOON STAR FURNITURE , ADARSHA NAGAR BADDA"
"4487","RD 2C,SECTOR 4,UTTARA"
"4488","PARK HOME BOSHUNDHARA 1, HOUSE 177 , BLOCK B , BLOCK B , BASHUNDHARA R/A"
"4489","NS DEVELOPMENT LTD , SECTOR 7 , UTTARA"
"4490","BADSHA MANJIL , HOUSE:621 , BLOCK : I , ROAD :RANI AVINUE , BASHUNDHARA R/A"
"4491","10/12, SIR ALLAMA MUHAMMAD IQBAL ROAD, MOHAMMADPUR"
"4492","STYLE HAIR DRESSER SALON , DARUS SALAM , KALLYANPUR"
"4493","ROAD  6 , SECTION 2"
"4494","HOSUE 618, ROAD 9, BLOCK I , BASHUNDHARA R/A"
"4495","DELEGATION OF THE EUROPEAN COMMISSION , GULSHAN 2 , GULSHAN"
"4496","MESAS JOSIM HOTEL , SHILPO ELAKA , TEJGAON"
"4497","BHUIYA LODGE , 8 , ROAD 3 , SECTION 2"
"4498","7B ROAD 96 BANANI GULSHAN"
"4499","ABC ORCHARD,H 27,RD 4,BANANI"
"4500","DAFFODIL INTERNATIONAL UNIVERSITY PERMANENT CAMPUS , ASHULIA"
"4501","uttara diabari metro rail haat , sector 18"
"4502","DX PHARMA , GREEN ROAD , DHANMONDI"
"4503","POPULAR DIAGNOSTICS CENTER LTD .( UTTARA BRANCH ) , SECTOR 4"
"4504","17/2 , AKKHAY DAS LANE WOOD SHOP GOLI , FARASHGANJ , KERANIGANJ SUBDISTRICT"
"4505","RED ROOTS LTD , BARIDHARA J BLOCK , NOTUN BAZAR"
"4506","TASTE N BEST , ROAD 10 , BLOCK D"
"4507","CARD DIVISION ,FIRST SECURITY ISLAMI BANK LIMITED , RESIDENTIAL AREA , DHANMONDI"
"4508","BANK ASIA LTD , H 110 , BIR UTTAM CR  DATTA RD , KATHALBAGAN"
"4509","H KA 81 , RD 10 , BARIDHARA DOHS"
"4510","SAINTMARTIN HYUNDAI PARIBAHAN LTD,KALLYANPUR,MIRPUR"
"4511","PUBALI BANK LIMITED,C O ROAD,DHOLAIPAR,JATRABARI"
"4512","AMERICAN INTERNATIONAL UNIVERSITY BANGLADESH , 408/1(OLD KA 66/1), KURATOLI ROAD, KURIL , DHAKA 1229"
"4513","NEW FRESH FOOD,ABDULLAHPUR ATIPARA RD,GOALTEK,DAKSHINKHAN"
"4514","H 38/1,DILU RD,NEW ESKATON"
"4515","NABINAGAR BUS STAND , SAVAR"
"4516","MILON ELECTRONICS SERVICE CENTRE , ASHKONA , DAKKHINKHAN"
"4517","PANNA BATTERY , BERIBADH RD , VAGOLPUR HAZARIBAG"
"4518","ANEX TOWER,TALERTEK RD"
"4519","MARIE  STOPES PREMIUM MATERNITY CLINIC , MIRPUR-10 , BLOCK A , MIRPUR 10"
"4520","SHWAPNO BEGUM ROKEYA SARANI,MONIPURIPARA,TEJGAON"
"4521","TOMSOM BRIDGE , COMILLA , BANGLADESH"
"4522","UNITED COMMERCIAL BANK ( UCB ) , NAMAPARA ROAD ,BOTTOLA , KHILKHET"
"4523","MEDINOVA HOSPITAL , H 71/A , RD 4/A , DHANMONDI"
"4524","8 , LOVE ROAD , SECTION 2"
"4525","SONALI BANK LTD,CUSTOM CLEARANCE BR,NEW AIRPORT RD"
"4526","SUMMER BREEZE , ROAD 7 , MADDHA BADDA , BADDA"
"4527","EXCLUSIVE BEST ENTERPRISE,NOTUN BAGH,RAMPURA"
"4528","BACC WOMENS & CHILDREN HOSPITAL,GREEN ROAD,KATHALBAGAN"
"4529","HAL RAKTOKOROBI , HAL ROKTOKOROBI MIRPUR 3"
"4530","AL MANAR HOSPITAL , SATMASJID ROAD , MOHAMADPUR"
"4531","KACHPUR BRIDGE , KATCHPUR , NARYANGANJ , 1361"
"4532","H 18, RD 12, NIKUNJA 2"
"4533","OFFICE OF THE CHIEF ENGINEERING OF PWD,
SEGUNABAGICHA"
"4534","NATIONAL BOARD OF REVENUE (NBR),AGARGAON,MIRPUR"
"4535","WIRELESS CHOURASTA , MOGBAZAR"
"4536","REIMRAIS , 143 ROAD #6 , BLOCK C , BASHUNDHARA R/A"
"4537","HOUSE 28 , ROAD 5, NIKUNJA 1, KHILKHET , DHAKA"
"4538","THE BHOJ COMPANY,ROAD 90,GULSHAN 2,GULSHAN"
"4539","MITU BEDDING STORE , WEST SHEWRAPARA , MIRPUR"
"4540","BERIBADH CHOURASTA  BUS STAND  , BERIBADH RD , MOHAMMADPUR"
"4541","LALBAGH TOWER , AZIMPUR ROAD , BOTTOLA , HAZARIBAGH"
"4542","NAFI TOWER , 53 , GULSHAN AVENUE , GULSHAN 1 , GULSHAN"
"4543","RM CENTE,101,GULSHAN AVENU,GULSHAN 2,GULSHAN"
"4544","PINEWOOD CAFE +  KITCHEN , BLOCK E , BANANI"
"4545","CHEFS TABLE COURTSIDE,MADANI AVENUE,100 FEET ROAD"
"4546","DIGILAB MEDICAL SERVICE LTD 2,ROAD 6,SECTION 6"
"4547","H 249,KHILGAON FLYOVER,KHILGAON"
"4548","HOUSE 52/6,DHALAIBARI ROAD,WEST RAJABAZAR,INDIRA ROAD,PANTHAPATH"
"4549","HANIF COUNTER IN KALLYANPUR,KALLYANPUR,,MIRPUR"
"4550","JAMUNA FUTURE PARK ENTRY WAY , PROGATI SARANI , BASHUNDHARA"
"4551","SAAT GAMBUJ JAME MASJID , GLASS FACTORY ROAD , MOHAMMADPUR"
"4552","SHOHAGH PARIBAHAN (PVT) LRD,MALIBAG HEAD OFFICE,MALIBAGH RAIL GATE,MALIBAGH"
"4553","WEST END HIGH SCHOOL , LALBAGH RD"
"4554","RD 3, BLOCK D , BANASREE"
"4555","PLAYHOUSE , BLOCK H , BANANI"
"4556","ARISTORACY,396,ROAD NO 15,BLOCK A,BASUNDHARA R/A"
"4557","PATHSALA GOLI , EAST RAYER BAZAR"
"4558","TAWA , BAILY ROAD , RAMNA , DHAKA"
"4559","BIYE BARI RESTAURANT , SATMASJID ROAD , DHANMONDI"
"4560","LALMATIA MOHILA COLLEGE , ZAKIR HOSSAIN ROAD , LALMATIA"
"4561","WRITING EXPERT CONSULTANCY FIRM,BLOCK D,LALMATIA"
"4562","HOUSE 18,ROAD 2,BLOCK L,BANANI,DHAKA"
"4563","CHARUTA PRIVATE LTD , H 65, RD 27 , BANANI"
"4564","BAITUL WAHAB JAAME MOSQUE , MOHAMMADIA HOUSING SOCIETY, MOHAMMADPUR"
"4565","GAZIPUR CHOURASTA BUS STAND , DHAKA MYMENSINGH , GAZIPUR"
"4566","BANGLADESH EYE HOSPITAL , KAKRAIL RD , RAJARBAG , MALIBAG"
"4567","NURUL ISLAM PAPER HOSUE ABDULLAHPUR UTTARA"
"4568","FETCO WAREHOUSE , SHYAMOLI, MOHAMMADPUR"
"4569","WEST JATRABARI , DHAKA , BANGLADESH"
"4570","BOSIR FURNITURE SOBUJ BANGLA R/A, MIRPUR 11"
"4571","TECHPLATOON , SECTOR 14 , UTTARA"
"4572","SHOPNONOGOR RESIDENTIAL PLAYGROUND , SHAGUFTA HOUSING SOCIETY , MIRPUR DOHS"
"4573","H 27 RD 7 MERUL BADDA"
"4574","EMPORI FINANCIAL TOWER, GULSHAN 2 , GULSHAN"
"4575","RD 6 , SECTOR 12 , UTTARA"
"4576","MIRPUR DOHS SHOPPING COMPLEX , MIRPUR DOHS , DHAKA"
"4577","rd 13, baridhara dohs"
"4578","ME DRX LIFE SCIENCE LTD , RD 30 , MIRPUR DOHS"
"4579","MIGRANT RESCOURCE CENTRES,EASKATON GARDEN ROAD,RAMNA"
"4580","UNITY PARK , SALAUDDIN SCHOOL ROAD MATUAIL , JATRABARI"
"4581","GREECO ENVIROMENT SOLUTION , RAINKHOLA , MIRPUR 11"
"4582","BSMMU , D BLOCK , PORIBAGH , SHAHBAGH"
"4583","PROTTOY ACADEMY , BLOCK K , SOUTH BANASREE"
"4584","AARONG MIRPUR ROAD , DHANMONDI R/A, SHYAMOLI"
"4585","H 9,RD 28,BANANI"
"4586","DESH TRAVELS ( KALLYANPUR COUNTER ) , MIRPUR"
"4587","HAKIM MRIDHA SUPER MARKET , S.K MANNAN RD , MOINARTEK"
"4588","PLATE 21 , H 19 , SHAISTA KHAN RD , LALBAG"
"4589","H 1006/1, BEGUM ROKEYA SARANI , WEST SHEWRAPARA"
"4590","HOUSE 1224 , ROAD 29 , BLOCK K , BASHUNDHARA R/A"
"4591","NASRIN MEDICAL HALL,ROAD 106,SHAHJADPUR,BADDA"
"4592","RAJUK UTTARA APARTMENT PROJECT , AVE 3 , SECTOR 18 , UTTARA"
"4593","AURORA OUTFIT , KAZIBARI RD"
"4594","DHAKA NEW MARKET MASJID , FOOTOVERBRIDGE , NEW MARKET"
"4595","GULSHAN PINK CITY SHOPPING COMPLEX GULSHAN 2 GULSHAN"
"4596","SAJAI PARLOUR , 146 , ROAD 13B , BANANI"
"4597","RD 11 , BLOCK F, BASHUNDHRA R/A"
"4598","INSAF BARAKAH KIDNEY & GENERAL HOSPITAL,SHAHID TAJUDDIN AHMED SARANI,DHAKA"
"4599","ARIF ELECTRONICS & HARDWARE,PALASH NAGAR,MIRPUR 11"
"4600","MIRZAPUR TANGAIL"
"4601","BOARD BAZAR BUS STOP , DHAKA MYMENSINGH HIGHWAY , 17 11"
"4602","BARIDHARA GENERAL HOSPITAL,KA 54/1,KALACHANPUR MAIN RD,KALACHANPUR"
"4603","H 34/4, BABAR RD MOHAMMADPUR"
"4604","LAXMI HAIR CUTTING SALON , SECTOR 6 , UTTARA"
"4605","ETCSOURCINGBD , SECTOR 3, UTTARA"
"4606","ICDDR,B SHAHID TAJUDDIN AHMED SARANI,MOHAKHALI"
"4607","VIQARUNNISA NOON SCHOOL & COLLEGE , AZIMPUR RD"
"4608","COMFORT DOCTORS CHAMBER 165 166 GREEN ROAD DHANMONDI"
"4609","KEEPEX , SECTOR 9 , UTTARA"
"4610","NOBORATRI-HALL 4,INTERNATIONAL CONVENTUON CITY BASUNDHARA (ICCB),PURBACHAL 300 FEET ROAD,DHAKA"
"4611","LONG , SALIMULLAH ROAD , MOHAMMADPUR"
"4612","DR. NABIL ZUNAYED SIDNY, SECTOR 11, UTTARA"
"4613","PLOT 216,H 217,RD 3,BLOCK B,BASUNDHARA R/A"
"4614","CLUB 9294 LIMITED,ROAD 07,BLOCK F,BANANI"
"4615","CAMLOT BOOK STALL,STATION RD,KAMALAPUR"
"4616","340 AL HAJ ABDUS SAOBHAN ROAD BLOCK B BASHUDNAHRA R/A"
"4617","PASSPORT BHABAN , DEPT OF IMMIGRATION AND PASSPORT , 7 E , PASSPORT OFFICE RD , SHER E BANGLA NAGAR , AGARGAON"
"4618","MOSJID COMPLEX , BANANI OLD DOHS , BANANI DOHS"
"4619","CAFE NUMBER ONE ROAD 10 BLOCK E BANANI"
"4620","SHWAPNO , H 15 , RD 6 , NIKUNJA 2"
"4621","RD 7 , BLOCK E , MIRPUR 1"
"4622","AGAMASI LN JAME MASJID , AGAMASI LN CIRCLE"
"4623","MAA , DHAKESWARI RD , PALASHI , LALBAGH"
"4624","AIRPORT ROAD , NEW AIRPORT ROAD , KURMITOLA , SECTOR 2"
"4625","DAKKHO,MALIBAGH RAIL GATE,MALIBAGH"
"4626","HANSA , SECTOR 9 , UTTARA"
"4627","MUNSHIGANJ PASSPORT OFFICE"
"4628","DHAKA M I CIRCLE,SECH BHABAN,SOBHANBAG,MANIK MIA AVENUE"
"4629","SHISU MELA BUS STAND MIRPUR RD SHYAMOLI"
"4630","SHWAPNO , BLOCK K , SOUTH  BANASREE"
"4631","KAZI KITCHEN , VOOTER GOLI , HATIRPOOL"
"4632","JAMUN AFUTURE PARK ENTRY WAY , PROGATI SARANI , BASUNDHARA"
"4633","TIP TOP POLICE CANTEEN , ROAD 8 , SECTOR 10 , UTTARA"
"4634","BRAWERS DEN , BLOCK F, BANANI"
"4635","H.R. AUTOMOBILE, GP JA-2, MOHAKHALI ,  TB GATE , TB GATE , MOHAKHALI"
"4636","TRINE UNIVERSITY BANGLADESH REGIONAL OFFICE,RESIDENTIAL AREA,DHANMONDI"
"4637","MADANI SARANI , DHAKA BANGLADESH"
"4638","GPO , BANGABANDHU AVE , PURANA PALTAN"
"4639","RAMHGANJ PAIURASHAVA RAMGANJ LAKSHMIPUR"
"4640","478/ KHILGAON FLYOVER , DOKKHIN SHAHJAHANPUR"
"4641","SATTAR MIAR GARAGE , PURANA PALTAN"
"4642","YAMAHA 3S , EAST NAKHALPARA , TEJGAON"
"4643","RANGS HAFIZ TOWER 65,66,SIDDHESWARI ROAD,WIRELESS,PALTAN"
"4644","ASSET DEVELOPEMENT & HOLDING LIMITED,HOUSE 08,ROAD 137,GULSHAN 1"
"4645","SUSHI OKI , BLOCK I , BASHUNDHARA R/A"
"4646","PROPOSED SITE FOR CHINA BANGLADESH FRIENDSHIP EXHIBITION CENTER,SECTOR 21,PURBACHAL"
"4647","AL- MODINA STORE , POSTOGOLA SHYAMOLI"
"4648","ONE BANK ROAD 8 , DHANMONDI R/A"
"4649","PROPERTY PARAGON , H 26 OLD , 116 , SEGUNBAGICHA RD"
"4650","DHAKA INTERNATIONAL TRADE FAIR ( BANIJJO MELA)  , SECTOR 4, PURBACHAL"
"4651","POWER GRID OF BANGLADESH LIMITED,WAPDA RD,WEST RAMPURA"
"4652","BANGLADESH -CHINA FRIENDSHIP , EXHIBITION CENTER , SECTOR 21 , PURBACHAL"
"4653","30 ROAD 1 NIKUNJA 2"
"4654","NAVANA SOMEREST , 14/4, 45 , CHAMILIBAGH , DOKKHIN SHAHJAHANPUR , PALTAN"
"4655","160, HATIRPOOL , DHANMONDI R/A , PALTAN"
"4656","ROAD TO BE NAMED"
"4657","INTEGRITY,BLOCK B,BANASREE"
"4658","GOLLACHUT STUDIOS , IQBAL ROAD, MOHAMMADPUR"
"4659","UNCLE SAM'S . CHEF'S TABLE COURTSIDE , MADANIO AVENUE , 100 FEET ROAD"
"4660","RETIRED GOVERNMENT EMPLOYEES HOSPITAL, WEST , DHANMONDI"
"4661","NOOR MANSION,336,AL HAJ ABDUS SIBHAN ROAD,BLOCK B,BASHUNDHARA R/A"
"4662","930,SABRINA SOBHAN 4TH AVENUE ROAD,BLOCK D,BASUNDHARA R/A"
"4663","CENTRE FOR GENOCOIDE STUDIES,MAIN CAMPUS,DHAKA UNIVERSITY"
"4664","APOLLO HOSPITAL,BASHUNDHARA R/A"
"4665","BABAR BARI,ROAD 11,MOHAMMADIA HOUSING SOCIETY,MOHAMMADPUR"
"4666","RAMNA MODEL SCHOOL , H 133 , NOYATOLA RD , NOYATOLA"
"4667","TRITECH BUILDING SERVICES LTD,BLOCK I,BASUNDHARA R/A"
"4668","SOBHANBAG FOOT OVERBRIDGE,MIRPUR RD,SOBHANBAG,DHANMONDI"
"4669","RANGS FALGOON , H 9/2 , IQBAL RD , MOHAMMADPUR"
"4670","NEW WISE TEX , SECTOR 7 , UTTARA"
"4671","BNS CENTER , SECTOR 7 , UTTARA"
"4672","GARLIC N GINGER 7TH FLOOR , HOUSE 54 ROAD 10/A , SATMASJID ROAD , DHANMONDI , DHAKA 1209"
"4673","ABDUR RAHIM GENERAL STORE , BONOFUL LN , WEST NAKHALPARA"
"4674","H 405/2, CHANDRIMA RD , WEST  SHEWRAPARA"
"4675","FVL NAFI , ALIF HOUSING, ADABAR , MOHAMMADPUR"
"4676","MEDI BANGLA GENERAL  HOSPITAL,WEST JATRABARI"
"4677","TOSTYS LATE NIGHT KITCHEN , ROAD 63 , GULSHAN 2 , GULSHAN"
"4678","DHAKA UNIVERSITY   RAIL STATION  TSC , DHAKA"
"4679","POPULAR PHARMACEUTICALS LTD  ( TRAINING DEPARTMENT ) , LAKE CIRCUS ROAD , KOLABAGAN"
"4680","AL-MANAR HOSPITAL LTD,LALMATIA,MOHAMMADPUR"
"4681","H 137/3, JAHANARA GARDENS RD , FARMGATE"
"4682","HOUSE 37 , ROAD 10 , SECTOR 4 , UTTARA"
"4683","DHAKA BANK, GULSHAN 2 CIRCLE, GULSHAN 2, GULSHAN"
"4684","KURIL BISSOROD"
"4685","KHILKHET UTTARPARA DORGY BARI UTTARPARA"
"4686","DEWAN BARI,H 10/11,RD 9,JANATA HOUSING,MOHAMMADPUR"
"4687","URBAN CRYSTAL , CEN (E) 2 , ROAD 104 , GULSHAN 2 , GULSHAN"
"4688","BRITISH AMERICAN TOBACCO BANGLADESH ( BATB ) , CENTRAL RD , MOHAKHALI DOHS"
"4689","MOHAMMADPUR KRISHI MARKET  , SHYAMOLI"
"4690","DIPA HOTEL & RESTAURANT , DIT ROAD , MALIBAGH RAIL GATE , MALIBAGH"
"4691","BEST ELECTRONICS,SHYAMOLI,MOHAMMADPUR"
"4692","ZINNAT MAHAL , H 1065/A , BINDU BRITTO GOLI , EAST SHEWRAPARA"
"4693","KFC , MIRPUR 10 ROAD , SECTION 2"
"4694","DHAKA AIRPORT RAILWAY STATION , DHAKA MYMENSINGH HIGHWAY"
"4695","H 63/3 , PURANA PALTAN LINE , MOTIJHEEL"
"4696","G.A. FOUNDATION LTD , PALLABI , MIRPUR"
"4697","FANTASY KINGDOM,GOVERNMENT ROAD,ASHULIA,NABINAGAR"
"4698","SHANTA NORTHERN LIGHTS , GULSHAN 2 , GULSHAN"
"4699","C & N HEALTH LTD,BLOCK H,BANANI"
"4700","ROAD 23,BANANI"
"4701","VENTURA ENCARNA , BLOCK   I , BANANI"
"4702","H 393/3,EAST KAZIPARA RD,KAZIPARA"
"4703","KHAMARBARI RD , MONIPURI PARA , TEJGAON"
"4704","ROYAL NORWEGIAN EMBASSY OF DHAKA , MADANI AVE , GULSHAN 2"
"4705","AIUB CAMPUS , KURATALI , KHILKHET , BASUNDHARA R/A"
"4706","MITHAIWALA , BLOCK G , BANANI"
"4707","ZARA'S DREAM , H 92, RD 1, MOHAMMADI HOUSING SOCIETY ,  MOHAMMADPUR"
"4708","A 1 , ROAD 2 , MOHANAGAR HOUSING PROJECT , NIKETON"
"4709","ANU BHAIER KABAB GHOR , ESTARN HOUSING GHOROYA MOR , MIRPUR"
"4710","8/A/6 , ROAD 13 , DHANMONDI R/A"
"4711","RAJUK UTTARA APARTMENT PROJECT , 17C - 701, UTTARA - 18 , SECTOR 18"
"4712","MAISHA AVIARY,SECTOR 18,UTTARA"
"4713","H 60, DINANATH SEN RD , GANDARIA"
"4714","RAJUK QUARTER WATER POMP. MODS ZONE 06, WASA MOUCHAK MARKET , MALIBAGH"
"4715","MODONPUR BUS STOP , DHAKA CHITTAGONG HIGHWAY , BANDAR , NARYANGANJ , 1361"
"4716","CRICBDDIRECT , ROAD 8 , BLOCK F , BANANI"
"4717","AMENA MANJIL , H 5/20, RAZIA SULTANA RD , MOHAMMADPUR"
"4718","HOUSE 29 , ROAD 18 , BLOCK J , BANANI"
"4719","faculty of chemical and materials engineering buet west pallabi"
"4720","BTCL AUDITORIUM , TNT COLONY , MOGHBAZAR"
"4721","RD 14 , SECTOR 14 , UTTARA"
"4722","IMPACT HUB DHAKA , RAINKHOLA , MIRPUR 1"
"4723","SALMAN"
"4724","H G 8,SHAHJAHANPUR RD,FAKIRAPOOL"
"4725","GREEN HOUSE RESTAURANT , ELEPHANT ROAD , NEW MARKET"
"4726","DHAKA INTERNATIONAL TRADE FAIR( DITF ), SECTOR 21 , PURBACHAL"
"4727","YASIN MANSION,229/C,I BLOCK ROAD 8,BASUNDHARA R/A"
"4728","HEAVEN TREE PLANTS & AGRO , RAYER BAZAR GRAVEYARD , MOHAMMADPUR"
"4729","SMART TECHNOLOGIES (BD) LTD,JAHIR SMART TOWER,WEST SHEWRPARA,MIRPUR"
"4730","PAKIZA DYIENG & PRINTING INDUSTRIES LIMITED,DHAKA ARICHA HIGHWAY,NOBINAGAR,1345"
"4731","la mano demra & laser medical , gulshan 2 , gulshan"
"4732","CONFIDENT BAZAR, BADDA OUTLET , SOUTH BADDA"
"4733","SEA SHELL HOTEL & PARTY PALACE , SECTOR 10 , UTTARA"
"4734","BAITUL MUKKARAM NATIONAL MASJID,BAITUL MUKKARAM RD,PURANA PALTAN"
"4735","CIVIL AVIATION C TYPE QUARTER,NEW AIRPORT ROAD"
"4736","CHAYA BITHI , H 360, DILU RD , NEW ESKATON"
"4737","BEAUTY CLOSET , MOHAKHALI DOHS"
"4738","AQUARIUM FISH & BIRD , BLOCK K , BARIDHARA"
"4739","CHILD STAR IDEAL SCHOOL,ABDUL LATIF KHANDAKAR SARAK,SOLMAID,VATARA"
"4740","PROMI AGRO FOOD LTD, ABDULLAHPUR , ATIPARA RD , SECTOR 8 , UTTARA"
"4741","90,ROAD 12,BASUNDHARA R/A"
"4742","DAILY SHOPPING , BLOCK A , BANASHREE"
"4743","H 202, RD 8 , MAHANAGAR HOUSING PROJECT , RAMPURA"
"4744","ROAD-14 , SECTOR 6 , UTTARA"
"4745","65,2 NUMBER LINE,SECTION 11"
"4746","NORTH SOUTH ROAD , FAKIRAPOOL , GULSHAN"
"4747","TIMIT , 39 , ROAD NO 1 , BLOCK A , BASHUNDHARA R/A"
"4748","TWENTY TWENTY RESTAURANT AND PARTY CENTER"
"4749","TEXTILE MILLS JAM MASJID , TONGI KALIGANJ HIGHWAY , WEST ARICHPUR , MOINARTEK"
"4750","H 416 , RD 3 , ADABOR"
"4751","H 7/A1 , LALMATIA RD , BLOCK B , LALMATIA 1207"
"4752","GENERAL OPTICS,SHAH ALI BAG,MIRPUR 1"
"4753","RAIHAN'S HOME, CHANDRIMA MODEL TOWN , MOHAMMADPUR"
"4754","RD 7 , DHAMALKOT , DHAKA CANTONMENT"
"4755","H 17 , BIR UTTAMM CR DATTA RD , HATIRPOOL"
"4756","Star Kabab & Restaurant"
"4757","DAIRY BANGLA FOODS LTD . ( HEAD OFFICE ) , SECTOR 7 , UTTARA"
"4758","1350/1, RUNWAY ROAD, WEST KAFRUL PURBA KAZIPARA"
"4759","ROAD 10,NIKETON,NIKETON HOUSING SOCIETY,NIKETAN"
