"location","formatted_address","latitude","longitude"
"""east tejturipara""","Bangladesh","24.0","90.0"
"""middle basabo""","Bashabo, Dhaka - 1214, Bangladesh","23.7415414","90.4319335"
"""namapara tetul tola""","Kola, Khulna Division, Bangladesh","23.65335","89.0933"
"""dakkhinpara""","Bangladesh","24.0","90.0"
"""9th floor""","London ward, Nakuru West, Kenya","-0.2864982","36.0514231"
"""1361""","Dhaka District, - 1361, Bangladesh","23.7067441","90.4798084"
"""1000""","Dhaka District, - 1000, Bangladesh","23.7324204","90.406732"
"""1400""","Narayanganj District, - 1400, Bangladesh","23.6252806","90.4955204"
"""moghbazar""","Moghbazar-Mouchak Flyover, Shiddheswari, Dhaka - 1217, Bangladesh","23.7449296","90.4132248"
"""dhaka ( uttara  poshchim thanar samne )""","Dhaka Division, Bangladesh","24.16667","90.41667"
"""block j""","Bashundhara Residential Area, Dhaka - 1229, Bangladesh","23.8227827","90.4425682"
"""bhuiyan eastate""","Bangladesh","24.0","90.0"
"""mirpur 2""","Mirpur, Dhaka - 1216, Bangladesh","23.8050427","90.3585246"
"""shamsur madrasa circle""","Bangladesh","24.0","90.0"
"""south banasree project""","Bangladesh Krishi Bank, Dakhin Banasree Project Road, Madartek, Dhaka - 1214, Bangladesh","23.7447527","90.4427661"
"""shaheenbag""","Nakhalpara, Dhaka - 1208, Bangladesh","23.7727992","90.3929208"
"""naya paltan""","Noya Paltan, Dhaka - 1000, Bangladesh","23.7356527","90.4132052"
"""block d""","Banasree, Dhaka, Dhaka District, Bangladesh","23.7619434","90.4319378"
"""1702""","Gazipur District, - 1702, Bangladesh","24.0855436","90.3818567"
"""dokkhin monipur""","Manipur, Bangladesh","23.47172","91.0612"
"""sher-e-bangla-nagar""","Sher-E-Bangla Nagar, Dhaka - 1207, Bangladesh","23.7741959","90.3754853"
"""bay's lakewood""","Bangladesh","24.0","90.0"
"""tejkunipara""","Tejgaon, Dhaka - 1215, Bangladesh","23.7618151","90.3924323"
"""hatirpool circle""","Bangladesh","24.0","90.0"
"""panthapath""","Rajabazar, Dhaka - 1215, Bangladesh","23.7525464","90.3833456"
"""gabtali""","Gabtali, গাবতলী উপজেলা, Bangladesh","24.8770229","89.4512705"
"""boorbagh""","Bangladesh","24.0","90.0"
"""kuril gausia brtc ticket counter""","Bangladesh","24.0","90.0"
"""chawkbazar""","Chawkbazar, Dhaka - 1310, Bangladesh","23.715323","90.3954354"
"""keranigank subdistrict""","Bangladesh","24.0","90.0"
"""sadarghat""","Sadar Ghat, Strand Road, Agrabad, Chattogram - 4000, Bangladesh","22.3247581","91.8308197"
"""block c""","Banasree, Dhaka, Dhaka District, Bangladesh","23.7622736","90.4294142"
"""mirpur`""","Mirpur, Kushtia District, Bangladesh","23.9363038","88.997764"
"""joar shahara""","Joar Shahara Bazar Road, Joar Sahara, Dhaka - 1229, Bangladesh","23.8133087","90.4184094"
"""twenty twenty restaurant and party center""","Bangladesh","24.0","90.0"
"""segunbagicha""","Segunbagicha, Dhaka - 1000, Bangladesh","23.7340321","90.4076745"
"""gulistan""","Gulistan, Dhaka - 1000, Bangladesh","23.7249037","90.4120785"
"""block e.banasree""","Banasree, Dhaka, Dhaka District, Bangladesh","23.7613593","90.4351191"
"""dhaka mawa highway""","Dhaka-Mawa Highway, Munshiganj District, Mawa - 1535, Bangladesh","23.4813191","90.2669091"
"""dilkusha""","Dilkusha, Dhaka - 1203, Bangladesh","23.7272736","90.4162497"
"""kuril""","Kuril, Dhaka - 1229, Bangladesh","23.8218203","90.4228833"
"""wireless niketon""","Bangladesh","24.0","90.0"
"""narayanganj""","Narayanganj, Narayanganj Sadar Upazila, Bangladesh","23.6236732","90.4988075"
"""basher pool dogair bazar""","Bāzār, Rangpur Division, Bangladesh","25.74442","88.49186"
"""rani mohol boro vanga rd""","Bangladesh","24.0","90.0"
"""pampura""","Bangladesh","24.0","90.0"
"""monipuri para""","Tejgaon, Dhaka - 1215, Bangladesh","23.7616919","90.3859025"
"""purana paltan""","Purana Paltan Line, Noya Paltan, Dhaka - 1217, Bangladesh","23.7384749","90.411512"
"""panmthapath""","Bangladesh","24.0","90.0"
"""tolerbag jame masjid""","Bangladesh","24.0","90.0"
"""new eskaton""","Kawran Bazar, Dhaka - 1234, Bangladesh","23.7472147","90.3980307"
"""sutrapur""","Gazipur District, Sutrapur - 1942, Bangladesh","24.0799224","90.1865732"
"""mirpur - 1""","Mirpur, Dhaka - 1216, Bangladesh","23.801924","90.3523456"
"""interlink technology""","Bangladesh","24.0","90.0"
"""basundhara r /a""","Bangladesh","24.0","90.0"
"""priyo prangon""","Bangladesh","24.0","90.0"
"""dhanmondi foot over bridge""","Dhanmondi Govt. Boys' High Schoole Shahid Minar, Foot Over Bridge, Sobhanbag, Dhaka - 1207, Bangladesh","23.7573921","90.3749613"
"""shobujbag""","Shobujbag Kacha Bazar Road, HaliShohor, Chattogram - 4216, Bangladesh","22.3397486","91.784815"
"""bhuiya estate""","Bhuiya Estate Road, Hazaribagh, Dhaka - 1312, Bangladesh","23.7301501","90.3625107"
"""green model town""","Green Model Town, Dhaka - 1232, Bangladesh","23.7280141","90.4512815"
"""komlapur""","Komlapur Road, Jhenaidah District, -, Bangladesh","23.2811035","88.9653649"
"""nurer chala""","Nurer Chala, Dhaka - 1212, Bangladesh","23.7957069","90.4331606"
"""shonir akhra""","Shonir Akhra, Dhaka - 1236, Bangladesh","23.7036614","90.4508803"
"""mirpur dhaka 1216""","Bangladesh, Lane 1, Mirpur, Dhaka - 1216","23.8202931","90.3710408"
"""darus salam""","Mirpur, Dhaka - 1916, Bangladesh","23.7780349","90.3549041"
"""section  10""","Mikindani ward, 80102, Kenya","-4.0098851","39.6337402"
"""bashundhara""","Bashundhara, Chokjadu Road, Bogura District, Bogura - 5800, Bangladesh","24.8507256","89.3664267"
"""hashim tower""","Hashim Tower, 205/1 Tejgaon Gulshan Link Road, Niketan, Dhaka - 1208, Bangladesh","23.7715296","90.4115671"
"""mirpur dohs house 710 road 10 avenued 3 flat 4 a""","Bangladesh","24.0","90.0"
"""indira road farmngate""","Bangladesh","24.0","90.0"
"""road 10 block d house 328 basundhara""","Bangladesh","24.0","90.0"
"""monshurabad abashik area ada""","Bangladesh","24.0","90.0"
"""west panthapath""","Rajabazar, Dhaka - 1215, Bangladesh","23.7525464","90.3833456"
"""matikata""","Matikata, Dhaka - 1206, Bangladesh","23.8196962","90.3936832"
"""ahsaniya mission cancer and general hospital""","Bangladesh","24.0","90.0"
"""chefs table court side""","Bangladesh","24.0","90.0"
"""aftab nagar project badda""","Bādua, Dhaka Division, Bangladesh","24.34671","90.00523"
"""nuvista pharma plant""","Bangladesh","24.0","90.0"
"""hospital""","hospital, Hospital Road, Pabna District, Pabna - 6600, Bangladesh","24.0165756","89.2449658"
"""the buffet stories mirpur""","The Buffet Stories, Begum Rokeya Sharani, Mirpur, Dhaka - 1216, Bangladesh","23.8182006","90.3653145"
"""nilkhet""","Azimpur, Dhaka - 1205, Bangladesh","23.7329358","90.3860855"
"""kotwali""","Kotwali Thana Road, Kandirpar, Cumilla - 3502, Bangladesh","23.4647456","91.1870087"
"""sayedabad""","Sayedabad Wonderland, Saydabad, Dhaka, Dhaka District, Bangladesh","23.7152237","90.4248802"
"""mirpur 6""","Mirpur, Dhaka - 1216, Bangladesh","23.8108831","90.3643604"
"""house 36 road 7 uttora sector 13""","Bangladesh","24.0","90.0"
"""kamalpur""","Kamalpur, Moulvibazar, Moulvibazar Sadar Upazila, Bangladesh","24.5396617","91.7329651"
"""savar""","Dhaka District, Savar - 1340, Bangladesh","23.8477","90.2587"
"""tejgaon thana health complex""","Bangladesh","24.0","90.0"
"""road 109 gulshan 2""","Road 109, Gulshan, Dhaka - 1212, Bangladesh","23.791029","90.4172453"
"""ad din medical college hospital""","Ad-Din Women's Medical college & Hospital, Jomidar Goli, Mogbazar, Dhaka - 1248, Bangladesh","23.7485032","90.4050678"
"""ibrahimpur""","Brahmanbaria District, Ibrahimpur - 3461, Bangladesh","23.8388035","90.9857133"
"""block  d""","Banasree, Dhaka, Dhaka District, Bangladesh","23.7619434","90.4319378"
"""reckitt benckiser official store tejgaon""","Tejgaon, Bangladesh","23.76296","90.38971"
"""east goran""","Goran, Dhaka - 1214, Bangladesh","23.7481983","90.4365253"
"""new market""","New Market, Mirpur Road, Azimpur, Dhaka - 1205, Bangladesh","23.7332423","90.384369"
"""paschim agargaon""","Bangladesh","24.0","90.0"
"""bardem hospital""","Bardem Hospital, Rankin Street, Wari, Dhaka - 1203, Bangladesh","23.7160002","90.4163756"
"""darussalam rd""","Darussalam Ashiya Jame Masjid, Sharat Gupta Rd, Dhaka, Sharat Gupta Road, Narinda, Dhaka - 1203, Bangladesh","23.7104881","90.4231741"
"""sel bari legacy""","Bangladesh","24.0","90.0"
"""shah ali bagh""","Shah Ali Bagh, Dhaka - 1916, Bangladesh","23.7974702","90.3563554"
"""uttara bhaban 5/a . mirpur 1 dhaka 1216.""","Mīrpur, Dhaka Division, Bangladesh","23.99511","90.32359"
"""ananda food house""","Bangladesh","24.0","90.0"
"""house 295/296""","house, Jamalpur, Jamalpur Sadar Upazila, Bangladesh","24.9207982","89.9626115"
"""arambagh""","Arambagh, Khulna - 9208, Bangladesh","22.8087008","89.5472595"
"""university of dhaka""","University of Dhaka, Unmesh Datta Road, Bokshibazar, Dhaka - 1211, Bangladesh","23.7312443","90.3915283"
"""dayaganj""","Dayaganj, Dhaka - 1204, Bangladesh","23.7104417","90.4246393"
"""utto""","Bangladesh","24.0","90.0"
"""kalachandpur""","Gulshan, Dhaka - 1229, Bangladesh","23.8089642","90.4166054"
"""shahbag  circle""","Bangladesh","24.0","90.0"
"""banani  dohs""","DOHS Banani Park Football & Cricket Field, Gulshan, Dhaka, Dhaka District, Bangladesh","23.7926587","90.3983849"
"""lalbag""","Lalbag, Dhaka - 1211, Bangladesh","23.7180752","90.3846389"
"""shumaiya 's place""","Bangladesh","24.0","90.0"
"""hungry eyes food corner""","Bangladesh","24.0","90.0"
"""kurmitola general hospital""","Kurmitola General Hospital, New Airport Road, Joar Sahara, Dhaka - 1229, Bangladesh","23.8192623","90.4097811"
"""jigatola""","Jigatola, Dhaka - 1209, Bangladesh","23.7390073","90.3710009"
"""ashar alo lake view tower""","Bangladesh","24.0","90.0"
"""tejgaon industrial area""","Tejgaon Industrial Area, Dhaka - 1208, Bangladesh","23.7648783","90.405798"
"""mintu rd""","Mintu Bepari Store, Padma Brg Rd, Naodoba, Mawa-Bhanga Expressway, Shariatpur District, Naodoba -, Bangladesh","23.4016742","90.2455978"
"""syed mahbub murshed ave""","Bangladesh","24.0","90.0"
"""section 13""","Bangladesh Krishi Bank, Baraiyerhat-Joraganj Old Section Road, Chattogram District, Baraiyarhat - 3901, Bangladesh","22.8933377","91.5339391"
"""nawabpur""","Nawabpur, Dhaka - 1100, Bangladesh","23.7168771","90.4118102"
"""poshchim  kafrul""","Kāfrul, Bangladesh","23.78822","90.37359"
"""road 9a""","Road 9A, Dhaka District, Dhaka - 1207, Bangladesh","23.7487665","90.3686708"
"""mohammadppur""","Bangladesh","24.0","90.0"
"""tollabag dhaal""","Dhāal, Rājshāhi Division, Bangladesh","24.7204","88.52302"
"""noyatola""","Noyatola, Dhaka - 1248, Bangladesh","23.7562013","90.4101983"
"""riceman""","Bangladesh","24.0","90.0"
"""vatara""","Nk Electric Office, vatara Vhatara 100 Ft Road, Baridhara, Dhaka - 1212, Bangladesh","23.7985609","90.4246369"
"""dhakshin azampur""","Āzimpur, Bangladesh","22.85","91.5"
"""green rd farmgate""","Green Road, Panthopath, Dhaka - 1215, Bangladesh","23.754526","90.3887101"
"""north ibrahimpur""","Digital Mapping Center, Survey of Bangladesh, Mirpur 14 Rd, Ibrahimpur, Dhaka - 1206, Bangladesh","23.8040149","90.388397"
"""shantinagar""","Shantinagar, Dhaka - 1217, Bangladesh","23.7385358","90.4139156"
"""dokkhin  monipur""","Manipur, Bangladesh","23.47172","91.0612"
"""paschim monipur""","Manipur, Bangladesh","23.47172","91.0612"
"""siddhirganj""","Siddhirganj Power Plants, Narayanganj, Narayanganj Sadar Upazila, Bangladesh","23.6822747","90.5259623"
"""khigoan""","Bangladesh","24.0","90.0"
"""diyabari""","Bangladesh","24.0","90.0"
"""asundhara r/a""","Bangladesh","24.0","90.0"
"""paschim  kafrul""","Kāfrul, Bangladesh","23.78822","90.37359"
"""mirbag""","Noyatola, Dhaka - 1029, Bangladesh","23.7591437","90.4134432"
"""west rampura""","Rampura, Dhaka - 1029, Bangladesh","23.7623412","90.4174201"
"""east tejkunipara""","Japanese Universities Alumni Association in Bangladesh, East Rajabazaar, Rajabazar, Dhaka - 1215, Bangladesh","23.758096","90.3869381"
"""flat no b2""","Bangladesh","24.0","90.0"
"""sonarang""","Tongibari - Sonarang - Betka Road, Munshiganj District, Tongibari Upazila - 1521, Bangladesh","23.5234194","90.461074"
"""basundhara""","Basundhara, 38 Rajani Chawdhury Road, Gendaria, Dhaka - 1204, Bangladesh","23.7044965","90.4217745"
"""nikunja1""","Khilkhet, Dhaka - 1229, Bangladesh","23.8302567","90.4178733"
"""dhanmo""","Bangladesh","24.0","90.0"
"""west karwan bazar""","Bāzār, Rangpur Division, Bangladesh","25.74442","88.49186"
"""matikata mirpur ecb""","Bangladesh","24.0","90.0"
"""delhi darbar mohakhali""","Bangladesh","24.0","90.0"
"""sher  e  bangla nagar""","Sher-E-Bangla Nagar, Dhaka - 1207, Bangladesh","23.7741959","90.3754853"
"""niketon gulshan""","Road 1 Niketon Block A, Gulshan, Dhaka - 1213, Bangladesh","23.7766103","90.4125354"
"""universal  international school""","Universal International School(ইউনিভার্সেল ইন্টারন্যাশনাল স্কুল), 10 7 number line, Mirpur, Dhaka - 1216, Bangladesh","23.8155956","90.3742657"
"""block g""","Green Model Town, Dhaka - 1360, Bangladesh","23.7297335","90.4565226"
"""keraniganj subdistrict""","Keraniganj Subdistrict, Bangladesh","23.6983432","90.3472708"
"""new air port rd""","Bangladesh","24.0","90.0"
"""mohakhali bazar road""","Mohakhali Bazar Jame Masjid Road, Gulshan, Dhaka - 2467, Bangladesh","23.7800045","90.398989"
"""miprur 1""","Bangladesh","24.0","90.0"
"""lalbagh""","Lalbagh Fort, Kazi Riaz Uddin Road, Lalbag, Dhaka - 1211, Bangladesh","23.718843","90.3881528"
"""faridabad""","Faridabad, Dhaka - 1204, Bangladesh","23.6966383","90.4231544"
"""cantonment""","Cantonment, Cantonment Road, Rangpur District, Rangpur - 5401, Bangladesh","25.7606013","89.231221"
"""mirpur ecb""","Bangladesh","24.0","90.0"
"""taqwa biryani house""","Bangladesh","24.0","90.0"
"""mridus jail""","Bangladesh","24.0","90.0"
"""dhaka -1000""","Dhaka, Dhaka District, Bangladesh","23.7643863","90.3890144"
"""shahjadpur bus stop""","Shahjadpur Bus Stop, Bir Uttam Rafiqul Islam Avenue, Gulshan, Dhaka - 1212, Bangladesh","23.7920887","90.4245009"
"""shantibag""","Shantibag Road, Malibagh, Dhaka - 1217, Bangladesh","23.7447372","90.4164333"
"""dhaka chittagong highway""","Dhaka-Chattogram Highway, Chattogram District, Sitakunda - 1352, Bangladesh","22.646881","91.6418983"
"""dhanmondi r /a""","Bangladesh","24.0","90.0"
"""tejgaon gulshan link rd""","Tejgaon Gulshan Link Road, Niketan, Dhaka - 1029, Bangladesh","23.7714526","90.4119188"
"""west nakhalpara""","Nakhalpara, Dhaka - 1208, Bangladesh","23.7698495","90.3934246"
"""fulbaria""","Fulbaria, Gazipur District, Bangladesh","24.1892148","90.3087797"
"""basabo""","Bashabo, Dhaka - 1214, Bangladesh","23.7415414","90.4319335"
"""secret recipe mohakhali""","Bangladesh","24.0","90.0"
"""tikatuli""","Tikatuli, Dhaka - 1203, Bangladesh","23.7189757","90.424011"
"""south badda""","Gulshan, Dhaka - 1212, Bangladesh","23.7751646","90.4225629"
"""89 sihrawardy avenue . road no. 11 baridhara""","Baridhara, Bangladesh","23.80254","90.42117"
"""norshindi sadar . norshindi""","Bangladesh","24.0","90.0"
"""airport rail station""","Bangladesh","24.0","90.0"
"""bonosri e block""","Bangladesh","24.0","90.0"
"""shahjadpur""","Shahjadpur, Dhaka - 1212, Bangladesh","23.7884856","90.4237741"
"""mirpur-13""","Mirpur, Dhaka - 1216, Bangladesh","23.8064","90.3776496"
"""vip road""","Vip road, Bagerhat District, Bagerhat - 9300, Bangladesh","22.6527302","89.7901118"
"""paschim nakhalpara""","Paschim Raja Bazar Jame Masjid, 58 Raja Bazar- Indira Road, Shukrabad, Dhaka - 1215, Bangladesh","23.7550338","90.3813883"
"""donia""","Donia, Dhaka - 1236, Bangladesh","23.7026953","90.4447096"
"""poschim kafrul""","Poschim Kafrul (Wakf) Jame Mosque, পরিসংখ্যান এভিনিউ, Agargaon, Dhaka - 1916, Bangladesh","23.7820308","90.378521"
"""girls school road dhanmindi""","Bangladesh","24.0","90.0"
"""dhaka 1209""","Dhaka, Dhaka District, Bangladesh","23.7643863","90.3890144"
"""mohammadour""","Bangladesh","24.0","90.0"
"""islam pharma""","Islam Pharma, 102/12 Sadek Khan Road, Mohammadpur, Dhaka - 1207, Bangladesh","23.7516649","90.3617035"
"""west kafrul mirpur""","Bangladesh Space Research and Remote Sensing Organization (SPARRSO), Begum Rokeya Sharani, Kazipara, Dhaka - 1103, Bangladesh","23.7810493","90.3786973"
"""west rajabazar""","Prime Minister's Office, Office Of The Prime Minister Bangladesh Bijoy Sharani, Tejgaon, Dhaka - 1212, Bangladesh","23.7683525","90.3918572"
"""kazipara""","Kazipara, Begum Rokeya Sharani, Dhaka - 1216, Bangladesh","23.7992408","90.3719878"
"""block i""","Bashundhara Residential Area, Dhaka - 1229, Bangladesh","23.8201676","90.4397267"
"""bangladesh bar council""","Bangladesh BAR Council, Maulana Bhasani Road, Segunbagicha, Dhaka - 1000, Bangladesh","23.7329672","90.4036785"
"""malibagh b""","Malibagh, Dhaka - 1217, Bangladesh","23.7464464","90.4159433"
"""hashim toweer""","Bangladesh","24.0","90.0"
"""mirpurr 12""","Bangladesh","24.0","90.0"
"""mohanagar housing project""","Bangladesh","24.0","90.0"
"""goran""","Goran, Dhaka - 1214, Bangladesh","23.747854","90.4336267"
"""kulutola""","Sutrapur, Dhaka - 1204, Bangladesh","23.7064981","90.4188205"
"""gulshan avenue""","Bir Uttam Mir Shawkat Sarak (Gulshan Avenue), Gulshan, Dhaka - 1029, Bangladesh","23.7725828","90.4148568"
"""nukunja 2""","Bangladesh","24.0","90.0"
"""nobinagar 1340""","Dhaka District, Nobinagar - 1334, Bangladesh","23.9123657","90.2605169"
"""mirpur 2  main rd""","Scholastica Senior Campus Mirpur, 2/B, 2/C Main Road - 13, Mirpur, Dhaka - 1216, Bangladesh","23.8055923","90.3765748"
"""rayer bazar""","Rayer Bazar, Dhaka, Dhaka District, Bangladesh","23.7448424","90.3627337"
"""kpmlapur railway station dhaka""","Dhaka Division, Bangladesh","24.16667","90.41667"
"""shantinagar .""","Shantinagar, Dhaka - 1217, Bangladesh","23.7385358","90.4139156"
"""agargaon""","Agargaon, Begum Rokeya Sharani, Kazipara, Dhaka - 1216, Bangladesh","23.7784275","90.3800503"
"""moinartek""","Bangladesh","24.0","90.0"
"""sher  e bangla  nagar""","Sher-E-Bangla Nagar, Dhaka - 1207, Bangladesh","23.7741959","90.3754853"
"""dhaka mymensigh highway""","Dhaka - Mymensigh Highway, Uttara, - 1276, Bangladesh","23.8641564","90.3998921"
"""dhaka canmtonment""","Bangladesh","24.0","90.0"
"""basundhara r/ a""","Bangladesh","24.0","90.0"
"""pashchim kafrul""","Kafrul, Dhaka - 1103, Bangladesh","23.7853511","90.3774982"
"""brb hospital""","Bangladesh","24.0","90.0"
"""dhaka 1217""","Dhaka, Dhaka District, Bangladesh","23.7643863","90.3890144"
"""sector 10 uttara""","Uttara, Dhaka - 1231, Bangladesh","23.8823382","90.3893745"
"""dhaka .""","Dhaka, Dhaka District, Bangladesh","23.7643863","90.3890144"
"""shakhari bazar""","Islampur, Dhaka - 1100, Bangladesh","23.7101557","90.4088089"
"""tsc circle""","Bangladesh","24.0","90.0"
"""mpinartek""","Bangladesh","24.0","90.0"
"""uttara medicine""","Bangladesh","24.0","90.0"
"""bharalia""","Bharalia, Keraniganj Subdistrict, Bangladesh","23.7147935","90.3519779"
"""paschim kafrul""","Kāfrul, Bangladesh","23.78822","90.37359"
"""apt 7""","APT, Mirpur-1 Footover Bridge, Shah Ali Bagh, Dhaka - 1216, Bangladesh","23.7987347","90.3530841"
"""dohs basundhara""","Bangladesh","24.0","90.0"
"""east rayer bazar""","Hatembag Road, East Rayer Bazar, Jigatola, Dhaka - 1209, Bangladesh","23.7429847","90.368355"
"""bakshi bazar""","Bokshi Bazaar Bus stop, Bakshi Bazar Road, Dhaka, Orphanage Road, Bokshibazar, Dhaka - 1211, Bangladesh","23.7225591","90.3955594"
"""station rd""","Station Road, Talaimari, Rajshahi - 6204, Bangladesh","24.3684168","88.6244432"
"""tapout fitness""","Bangladesh","24.0","90.0"
"""bashunmdhara r/a""","Bangladesh","24.0","90.0"
"""bvaridhara""","Bangladesh","24.0","90.0"
"""rd 2merul badda""","Bādua, Dhaka Division, Bangladesh","24.34671","90.00523"
"""alfresco tejgaon""","Tejgaon, Bangladesh","23.76296","90.38971"
"""kawla bus stop kawla""","Kawla Rail Gate Bus stop, BRT Line 3, Dokkhin Khan, Dhaka - 1230, Bangladesh","23.8463381","90.4122209"
"""uttara model town""","Uttara, Dhaka - 1231, Bangladesh","23.8693275","90.3926893"
"""mugda para police station""","Bangladesh","24.0","90.0"
"""sector 12""","China Bangladesh Friendship Exhibition Center, Dhaka City Bypass, Narayanganj District, Purbachal - 0000, Bangladesh","23.8426962","90.5338706"
"""north jatrabari""","Jatrabari, Dhaka - 1232, Bangladesh","23.712287","90.4343803"
"""gulshan 2 gulshan""","Embassy of Sweden, 2 Madani Avenue, Gulshan, Dhaka - 1212, Bangladesh","23.7962493","90.4176239"
"""dhanmondi hoqurs market""","Bangladesh","24.0","90.0"
"""shajahanpur""","Shajahanpur Graveyard, Shahidbagh, Dhaka, Dhaka District, Bangladesh","23.7410145","90.421266"
"""ghulshan""","Bangladesh","24.0","90.0"
"""purbachal""","Narayanganj District, Purbachal - 0000, Bangladesh","23.8534224","90.5014224"
"""gulshan -1""","Gulshan, Dhaka - 1212, Bangladesh","23.780553","90.4169"
"""basundhara road""","Basundhara, 38 Rajani Chawdhury Road, Gendaria, Dhaka - 1204, Bangladesh","23.7044965","90.4217745"
"""gandaria""","Dayaganj, Dhaka, Dhaka District, Bangladesh","23.7060804","90.4263861"
"""kalachandpur main rd  kalachandpur""","Kalachandpur Main Road, Gulshan, Dhaka - 1229, Bangladesh","23.8078447","90.4185419"
"""lake city rd""","Bangladesh","24.0","90.0"
"""azampur uttara dhaka.dewanpara""","Bangladesh Petrolium Institute ( BPI), Officers Quarter Road, Azampur, - 1276, Bangladesh","23.8780212","90.4024462"
"""shoniakhra""","Bangladesh","24.0","90.0"
"""sorwardi hospital""","Bangladesh","24.0","90.0"
"""sukonna tower""","Bangladesh","24.0","90.0"
"""bashtola foot over bridge""","Bangladesh","24.0","90.0"
"""foodspire""","Bangladesh","24.0","90.0"
"""dhaka 1207""","Dhaka, Dhaka District, Bangladesh","23.7643863","90.3890144"
"""shantinagar rd""","Shantinagar Road, Rajarbag, Dhaka - 1217, Bangladesh","23.7393386","90.4150796"
"""boro mogbazar""","TAJ Hotel Boro Moghbazar, Outer Circular Road, Mogbazar, Dhaka - 1217, Bangladesh","23.748598","90.404016"
"""vasantek""","Vasantek pocket gate, মূল সড়ক, Bhashantek, Dhaka - 1206, Bangladesh","23.8113817","90.3961485"
"""majumder's kemal atatruk avenue banani""","Bangladesh","24.0","90.0"
"""notun bazar""","Baridhara, Dhaka - 1212, Bangladesh","23.7982944","90.4239709"
"""babu bazar""","Babu bazar, Dhaka - 1100, Bangladesh","23.7099344","90.402599"
"""kathalbaria badda""","Bādua, Dhaka Division, Bangladesh","24.34671","90.00523"
"""united international university campus""","Bangladesh","24.0","90.0"
"""custom clearance br . new airport rd""","Sonali Bank, Custom Clearance Br, Airport Road New Airport Road, Dhaka District, - 1229, Bangladesh","23.8520633","90.4047291"
"""dhaka 1216 (helal diagonstic centre building )""","Dhaka Division, Bangladesh","24.16667","90.41667"
"""she e bangla nagar""","Nagar Chāchkia, Rājshāhi Division, Bangladesh","24.09326","89.34041"
"""aftabnagar""","Aftabnagar, Dhaka - 1214, Bangladesh","23.7657519","90.445198"
"""monipuripara""","Bangladesh","24.0","90.0"
"""south kamalapur""","Motijheel, Dhaka - 1203, Bangladesh","23.7265334","90.4246303"
"""adabar""","Adabar, Dhaka - 1916, Bangladesh","23.7745693","90.3552923"
"""shantos hq""","Bangladesh","24.0","90.0"
"""dhaka uttar   s""","Dhaka-Chattogram Highway, Chattogram District, Chattogram - 4207, Bangladesh","22.3687404","91.778023"
"""dhanmondi 2""","Dhanmondi 2, Jigatola, Dhaka - 1209, Bangladesh","23.7387913","90.379543"
"""nobinagar""","Dhaka District, Nobinagar - 1334, Bangladesh","23.9123657","90.2605169"
"""mirpur 14""","Mirpur, Dhaka - 1103, Bangladesh","23.7988425","90.3847119"
"""twenty 20 snacks""","Bangladesh","24.0","90.0"
